Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link
BKT Bici Pública suma 16 años transformando la movilidad en México;30/12/2024;Milenio;Bicicleta;Bici pública;Varios;https://www.milenio.com/politica/comunidad/cual-es-la-historia-de-bkt-bici-publica-en-mexico
Supera MiBici viajes de 2023;28/12/2024;Mural;Bicicleta;Bici pública;Servicio;https://www.mural.com.mx/supera-mibici-viajes-de-2023/ar2929026?v=5
Proponen más carriles para autobuses y bicicletas en la ZMG;14/12/2024;Mural;Bicicleta;Ciclovías;PIMUS;https://www.mural.com.mx/proponen-mas-carriles-para-autobuses-y-bicicletas-en-la-zmg/ar2923280?v=2
GDL no contempla construcción de nuevas ciclovías;02/12/2024;Notisistema;Bicicleta;Ciclovías;Varios;https://www.notisistema.com/noticias/gdl-no-contempla-construccion-de-nuevas-ciclovias/
Alertan por asaltos a motos y bicicletas en Zona Centro GDL;29/11/2024;Imagen TV;Bicicleta;Inseguridad;Robos;https://www.imagentv.com/guadalajara/noticias/imagen-noticias-guadalajara-con-ricardo-camarena/alertan-por-asaltos-motos-y-bicicletas-en-zona-centro-gdl
Afecta ciclismo al Bosque La Primavera;10/11/2024;Mural;Bicicleta;Afectaciones;Bosque primavera;https://www.mural.com.mx/afecta-ciclismo-al-bosque-la-primavera/ar2904428
Organizan eventos callejeros para genera una cultura de prevención en bicicletas;10/11/2024;El Occidental;Bicicleta;Cultura vial;Acciones;https://www.eloccidental.com.mx/local/organizan-eventos-callejeros-para-genera-una-cultura-de-prevencion-en-bicicletas-12851057.html
Desde La Redacción | Ciclovías de Guadalajara: ¿Un peligro constante para ciclistas?;05/11/2024;Azteca Jalisco;Bicicleta;Siniestralidad;Inseguridad;https://www.aztecajalisco.com/local/ciclovias-guadalajara-un-peligro-constante-para-ciclistas
Consejos si eres ciclista en ZMG;04/11/2024;Trafico ZMG;Bicicleta;Siniestralidad;Seguridad vial;https://traficozmg.com/2024/11/consejos-si-eres-ciclista-en-zmg/
Ciclista choca con mujer de la tercera edad;30/10/2024;ImagenTV;Bicicleta;Siniestralidad;Peatones;https://www.imagentv.com/guadalajara/noticias/imagen-noticias-guadalajara-con-ricardo-camarena/ciclista-choca-con-mujer-de-la-tercera-edad
Ante falta de mantenimiento de administración anterior, Intervienen ciclovías y parques de Ocotlán;23/10/2024;UDGTV;Bicicleta;Infraestructura;Mantenimiento;https://udgtv.com/noticias/ante-falta-de-mantenimiento-de-administracion-anterior/244976
Periférico, la vía más riesgosa para ciclistas;23/10/2024;NTR Guadalajara;Bicicleta;Siniestralidad;Varios;https://www.ntrguadalajara.com/post.php?id_nota=221012
Tres años después, CEDHJ exhibe a Policía Vial que dejó ir a conductor tras atropellar a ciclista;23/10/2024;Canal 44;Bicicleta;Siniestralidad;Varios;https://www.youtube.com/watch?v=Nf4LdN06oLI
Repuntan muertes de ciclistas en el Área Metropolitana;20/10/2024;Mural;Bicicleta;Siniestralidad;Varios;https://www.mural.com.mx/repuntan-muertes-de-ciclistas-en-el-area-metropolitana/ar2892994?v=2
Rehabilitan hasta 32 km de ciclovías al mes;16/10/2024;NTR Guadalajara;Bicicleta;Ciclovía;Mantenimiento;https://www.ntrguadalajara.com/post.php?id_nota=220665
Los ciclistas optan por tomar la carretera en partes cubiertas por piedras y lodo;15/10/2024;Seminario Laguna;Bicicleta;Ciclovía;Mantenimiento;http://semanariolaguna.com/82170/
Espacios para ciclistas, insuficientes y desconectados;10/10/2024;NTR Guadalajara;Bicicleta;Ciclovía;Varios;https://www.ntrguadalajara.com/post.php?id_nota=220400
Descartan construcción de más ciclovías en Zapopan;08/10/2024;NTR Guadalajara;Bicicleta;Ciclovía;Varios;https://www.ntrguadalajara.com/post.php?id_nota=220332
Desde la Redacción: 11 postes en una ciclovía en Zapopan pone en riesgo a ciclistas;04/10/2024;Azteca Jalisco;Bicicleta;Ciclovía;Varios;https://www.aztecajalisco.com/local/desde-redaccion-11-postes-en-una-ciclovia-zapopan-pone-riesgo-ciclistas
Inaugura gobernador ciclovía en Puerto Vallarta;02/10/2024;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/inaugura-gobernador-ciclovia-en-puerto-vallarta/
Mi Bici para Jefas de Familia, sin aprovecharse;27/09/2024;NTR Guadalajara;Bicicleta;Bici pública;Género;https://www.ntrguadalajara.com/post.php?id_nota=219836
Presentan estrategia de inclusión de usuarias a MiBici;27/09/2024;Trafico ZMG;Bicicleta;Bici pública;Género;https://traficozmg.com/2024/09/presentan-estrategia-de-inclusion-de-usuarias-a-mibici/
Usan más hombres que mujeres sistema MiBici en la ZMG;26/09/2024;El Informador;Bicicleta;Bici pública;Género;https://www.informador.mx/jalisco/Usan-mas-hombres-que-mujeres-sistema-MiBici-en-la-ZMG-20240926-0167.html
Mueren 96 ciclistas este sexenio, exigen presupuesto digno;23/09/2024;Canal 44;Bicicleta;Siniestralidad;Denuncia;https://www.youtube.com/watch?app=desktop&v=9AFFmXOjqFM
Mueren 96 ciclistas este sexenio, exigen presupuesto digno;22/09/2024;UDGTV;Bicicleta;Siniestralidad;Denuncia;https://udgtv.com/noticias/mueren-96-ciclistas-este-sexenio-exigen-presupuesto-digno-/240475
Hacen mega rodada en GDL por el Día Mundial Sin Auto;21/09/2024;Mural;Bicicleta;Día sin auto;Rodada;https://www.mural.com.mx/hacen-mega-rodada-en-gdl-por-el-dia-mundial-sin-auto/ar2877407?v=2
Día Mundial del Auto: Crecen los vehículos motorizados y Mi Bici se desploma;20/09/2024;UDGTV;Bicicleta;Bici pública;Varios;https://udgtv.com/noticias/dia-mundial-del-auto-crecen-los-autos-y-se-desploma-mi-bici/240375
Jefas de familia en MiBici, a la baja;18/09/2024;NTR Guadalajara;Bicicleta;Bici pública;Género;https://www.ntrguadalajara.com/post.php?id_nota=219413
Piden análisis sobre fracaso del programa de Mi Bici para Mujeres;18/09/2024;NTR Guadalajara;Bicicleta;Bici pública;Género;https://www.ntrguadalajara.com/post.php?id_nota=219434
Vía RecreActiva provoca la unión de dos “Guadalajaras”;10/09/2024;El Informador;Bicicleta;Vía recreactiva;Varios;https://www.informador.mx/jalisco/Via-RecreActiva-provoca-la-union-de-dos-Guadalajaras-20240910-0026.html
Reconocen que 266 unidades del sistema MiBici no funcionan;09/09/2024;NTR Guadalajara;Bicicleta;Bici pública;Mantenimiento;https://www.ntrguadalajara.com/post.php?id_nota=219075
¿Dónde deben circular los ciclistas en Guadalajara, Jalisco?;09/09/2024;Heraldo;Bicicleta;Ley;Varios;https://heraldodemexico.com.mx/nacional/2024/9/9/donde-deben-circular-los-ciclistas-en-guadalajara-jalisco-636250.html
Piden Ampliar Vía RecreActiva;09/09/2024;Página 24 Jalisco;Bicicleta;Vía recreactiva;Ampliación;https://pagina24jalisco.com.mx/2024/09/09/local/piden-ampliar-via-recreactiva/
Tapatíos celebran 20 años de la Vía RecreActiva con actividades familiares y deportivas;09/09/2024;Notisistema;Bicicleta;Vía recreactiva;Varios;https://www.notisistema.com/noticias/tapatios-celebran-20-anos-de-la-via-recreactiva-con-actividades-familiares-y-deportivas/
La Vía RecreActiva, un espacio inspirado para tener una ciudad más humana;08/09/2024;Milenio;Bicicleta;Vía recreactiva;Varios;https://www.milenio.com/politica/comunidad/via-recreactiva-espacio-inspirado-ciudad-humana
"Recuperan espacio público con la “Vía RecreActiva"" en Guadalajara";08/09/2024;La Jornada;Bicicleta;Vía recreactiva;Varios;https://www.jornada.com.mx/noticia/2024/09/08/estados/recuperan-el-espacio-publico-con-la-201cvia-recreactiva-en-guadalajara-7812
Festejarán 20 años de la Vía RecreActiva;06/09/2024;NTR Guadalajara;Bicicleta;Vía recreactiva;Varios;https://www.ntrguadalajara.com/post.php?id_nota=218918
Urgen limpieza en la ciclovía y banquetas de la Avenida México;03/09/2024;Tribuna de la bahia;Bicicleta;Ciclovía;Denuncia;https://tribunadelabahia.com.mx/limpieza-ciclovia-avenida-mexico/
AMG, ya con 15 ciclistas fallecidos;03/09/2024;NTR Guadalajara;Bicicleta;Siniestralidad;Varios;https://www.ntrguadalajara.com/post.php?id_nota=218828
Bici Blanca alerta: la falta de ciclovías en accesos a Guadalajara aumenta muertes de ciclistas en 2024;27/08/2024;Lider 919;Bicicleta;Siniestralidad;Bici blanca;https://lider919.com/bici-blanca-alerta-la-falta-de-ciclovias-en-accesos-a-guadalajara-aumenta-muertes-de-ciclistas-en-2024/
Crece uso de MiBici dentro de la Ciudad;14/08/2024;Mural;Bicicleta;Bici pública;Infraestructura;https://www.mural.com.mx/crece-uso-de-mibici-dentro-de-la-ciudad/ar2856559
Realizan rodada por ciclista atropellada en Juan Gil Preciado;10/08/2024;Meganoticias;Bicicleta;Siniestralidad;Acciones;https://www.meganoticias.mx/cdmx/noticia/realizan-rodada-por-ciclista-atropellada-en-juan-gil-preciado/541448
Piden justicia por Adela, ciclista atropellada en Zapopan;10/08/2024;Mural;Bicicleta;Siniestralidad;Acciones;https://www.mural.com.mx/piden-justicia-por-adela-ciclista-atropellada-en-zapopan/ar2855137
Ciclistas Exigen Mejores Condiciones Viales Para Los Usuarios de Bicicleta;10/08/2024;nmas;Bicicleta;Siniestralidad;Acciones;https://www.nmas.com.mx/nmas-local/programas/las-noticias-guadalajara/videos/ciclistas-exigen-mejores-condiciones-viales-para-los-usuarios-bicicleta/
"Rodada en Zapopan Honra a Ciclista Atropellada; Colocan Bicicleta Blanca en el Lugar";10/08/2024;nmas;Bicicleta;Siniestralidad;Acciones;https://www.nmas.com.mx/foro-tv/programas/las-noticias-0900/videos/rodada-zapopan-honra-ciclista-atropellada-colocan-bicicleta-blanca-el-lugar/
En 2024 ya van más muertes de ciclistas respecto al mismo periodo de 2023;05/08/2024;NTR Guadalajara;Bicicleta;Siniestralidad;Informe;https://www.ntrguadalajara.com/post.php?id_nota=217568
Aumenta infraestructura, pero no crece uso de la bicicleta;11/07/2024;Meganoticias;Bicicleta;Ciclovía;Varios;https://www.meganoticias.mx/guadalajara/noticia/aumenta-infraestructura-pero-no-crece-uso-de-la-bicicleta/533626
Prefieren ciclovía de Federalismo por segura;08/07/2024;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Movilidad-Prefieren-ciclovia-de-Federalismo-por-segura-20240708-0021.html
La Vía RecreActiva de Zapopan ofrece clases gratuitas de música;07/07/2024;Crónica Jalisco;Bicicleta;Vía recreactiva;Actividades;https://www.cronicajalisco.com/notas-la_via_recreactiva_de_zapopan_ofrece_clases_gratuitas_de_musica-127593-2024
"Lluvias afectan ciclovía de 8 de julio; usuarios exigen limpieza";06/07/2024;El Occidental;Bicicleta;Ciclovía;Mantenimiento;https://www.eloccidental.com.mx/local/lluvias-afectan-ciclovia-de-8-de-julio-usuarios-exigen-limpieza-12200615.html
Con rodada al desnudo, exigen respeto para los ciclistas;24/06/2024;Canal 44;Bicicleta;Rodada al desnudo;Varios;https://www.youtube.com/watch?v=QUJ4m8KUj4U&t=36s
¡Sin ropa! Pedalean al desnudo para exigir respeto y más información vial;22/06/2024;El Occidental;Bicicleta;Acciones;Rodada;https://www.eloccidental.com.mx/local/rodada-al-desnudo-pedalean-para-exigir-respeto-y-mas-informacion-vial-12128703.html
Por Rodada al Desnudo habrá cierres viales este sábado;21/06/2024;El Informador;Bicicleta;Rodada al desnudo;Varios;https://www.informador.mx/jalisco/Por-Rodada-al-Desnudo-habra-cierres-viales-este-sabado-20240621-0046.html
Rodarán al desnudo en GDL este 22 de junio;17/06/2024;Mural;Bicicleta;Rodada al desnudo;Acción;https://www.mural.com.mx/rodaran-al-desnudo-en-gdl-este-22-de-junio/ar2826050?v=2
"Transitar por ciclovías del AMG; es ya un conflicto serio entre peatones y ciclistas";11/06/2024;Milenio;Bicicleta;Ciclovía;Varios;https://www.milenio.com/politica/comunidad/transitar-ciclovias-amg-conflicto-peatones-ciclistas
“La Ciclovía de la Guadalupe Sólo Desquicia el Tránsito de Vehículos”;10/06/2024;Página 24 Jalisco;Bicicleta;Ciclovía;Oposición;https://pagina24jalisco.com.mx/2024/06/10/local/la-ciclovia-de-la-guadalupe-solo-desquicia-el-transito-de-vehiculos/
Un Motociclista Alcoholizado Invadió el Carril Exclusivo de Bicicletas y Chocó;08/06/2024;Nmas;Bicicleta;Ciclovía;Siniestralidad;https://www.nmas.com.mx/nmas-local/programas/las-noticias-guadalajara/videos/un-motociclista-alcoholizado-invadio-carril-exclusivo-bicicletas-choco/
Ignora 44% multas por obstruir ciclovías;05/06/2024;NTR Guadalajara;Bicicleta;Ciclovía;Multas;https://www.ntrguadalajara.com/post.php?id_nota=214878
Al alza, multas por invadir las ciclovías;28/05/2024;NTR Guadalajara;Bicicleta;Ciclovía;Multas;https://www.ntrguadalajara.com/post.php?id_nota=214483
Carente información vial sobre el uso de las ciclovías;28/05/2024;NTR Guadalajara;Bicicleta;Ciclovía;Varios;https://www.ntrguadalajara.com/post.php?id_nota=214502
