Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link
Tapatíos disfrutan de la Vía RecreActiva en segundo fin de semana;03/01/2021;El Occidental;Bicicleta;Víarecreactiva;Servicio;https://www.eloccidental.com.mx/local/noticias-deporte-actividad-tapatios-disfrutan-de-la-via-recreactiva-en-segundo-fin-de-semana-6201014.html
Más infraestructura y visibilidad, las razones de la baja en el número de ciclistas fallecidos en 2020;04/01/2021;Lider 919;Bicicleta;OC;Seguridad vial;https://lider919.com/mas-infraestructura-y-visibilidad-las-razones-de-la-baja-en-el-numero-de-ciclistas-fallecidos-en-2020
Vía, con fallas en los filtros sanitarios;04/01/2021;NTRGuadalajara;Bicicleta;Víarecreactiva;COVID 19;https://www.ntrguadalajara.com/post.php?id_nota=160308
Vuelve a la normalidad #MiBici;04/01/2021;Quadratin;Bicicleta;Bici pública;Servicio;https://jalisco.quadratin.com.mx/guadalajara/vuelve-a-la-normalidad-mibici/
Recupera su bicicleta en seis horas gracias a las redes sociales;07/01/2021;El Informador;Bicicleta;Bicicleta;Robos;https://www.informador.mx/jalisco/Recupera-su-bicicleta-en-seis-horas-gracias-a-las-redes-sociales-20210107-0121.html
Avanza la ciclovía de Federalismo, pero a paso lento;08/01/2021;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com.mx/avanza-la-ciclovia-de-federalismo-pero-a-paso-lento/ar2101904
Usuarios de “MiBici” pagarán más por el servicio;08/01/2021;Trafico ZMG;Bicicleta;Bici pública;Servicio;https://traficozmg.com/2021/01/usuarios-de-mibici-pagaran-mas-por-el-servicio/
Usuarios de ciclovía de la avenida Washington aprueban obra pero denuncian la creciente delincuencia;09/01/2021;Canal 44;Bicicleta;Bicicleta;Inseguridad;https://www.youtube.com/watch?v=Zvz04JUXfZc
Chicos y grandes disfrutan de la Vía RecreActiva;10/01/2021;El Occidental;Bicicleta;Víarecreactiva;Servicio;https://www.eloccidental.com.mx/local/noticias-guadalajara-pandemia-prevencion-chicos-y-grandes-disfrutan-de-la-via-recreactiva-6225847.html
Vía Recreactiva de Guadalajara con pocos filtros sanitarios pese a gran afluencia;10/01/2021;Milenio;Bicicleta;Víarecreactiva;COVID 19;https://www.milenio.com/politica/comunidad/guadalajara-pocos-filtros-para-mucha-afluencia-en-la-via-recreactiva
Ciclistas en Guadalajara consideran la falta de sensibilidad de automovilistas una causa de peligro;12/01/2021;Canal 44;Bicicleta;Bicicleta;Educación vial;https://www.youtube.com/watch?v=9sb98s0N__g
Realizan obras de ciclopista, ciclistas señalan falta de señalización y socialización;13/01/2021;Canal 44;Bicicleta;Ciclovía;Infraestructura;https://www.youtube.com/watch?v=IuIp2XY6P_8
