Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link;
Llega a 14 la crifra de ciclistas por atropellamiento;19/10/2023;Trafico ZMG;Bicicleta;Siniestralidad;Datos;https://traficozmg.com/2023/10/llega-a-14-la-cifra-de-ciclistas-muertos-por-atropellamiento-en-la-zmg/;
Mueven estación de MiBici tras violencia;18/10/2023;Mural;Bicicleta;Bici pública;Inseguridad;https://www.mural.com.mx/mueven-estacion-de-mibici-tras-violencia/ar2695329?v=2;
Agencia de Movilidad lanza Chatbot para reportar deficiencias de MiBici;17/10/2023;Canal 44;Bicicleta;Bici pública;Varios;https://www.youtube.com/watch?v=wgIXAmOQhx4;
Lanzan chatbot para reportes de infraestructura ciclista y semáforos;17/10/2023;NTR Guadalajara;Bicicleta;Ciclovía;Varios;https://www.ntrguadalajara.com/post.php?id_nota=204629;
Lanzan AMIMgo para monitorear infraestructura ciclista;16/10/2023;NTR Guadalajara;Bicicleta;Ciclovía;Varios;https://www.ntrguadalajara.com/post.php?id_nota=204603;
Instalan este mes estaciones de Mi Bici al oriente del AMG;11/10/2023;Mural;Bicicleta;Bici pública;Infraestructura;https://www.mural.com.mx/instalan-este-mes-estaciones-de-mi-bici-al-oriente-del-amg/ar2691038;
San Juan de Dios, entre las nuevas colonias a donde llegará Mi Bici;11/10/2023;El Informador;Bicicleta;Bici pública;Infraestructura;https://www.informador.mx/jalisco/San-Juan-de-Dios-entre-las-nuevas-colonias-a-donde-llegara-Mi-Bici-20231011-0107.html;
"Abandonan a personas heridas en ciclopuerto reportado como riesgoso en Guadalajara; una de ellas muere";26/09/2023;UDGTV;Bicicleta;Bici pública;Inseguridad;https://udgtv.com/noticias/abandonan-a-personas-heridas-en-ciclopuerto/197634;
Tiene Bus Bici cero fatalidades en un año;26/09/2023;Mural;Bicicleta;Busbici;Siniestralidad;https://www.mural.com.mx/tiene-bus-bici-cero-fatalidades-en-un-ano/ar2682301;
Ciclistas de la metrópoli, con derechos y obligaciones;25/09/2023;NTR Guadalajara;Bicicleta;Ley;Cultura vial;https://www.ntrguadalajara.com/post.php?id_nota=203662;
"Denuncian ciclopuerto inseguro en la colonia Mezquitan; han reportado asaltos";25/09/2023;EL Occidental;Bicicleta;Bici pública;Inseguridad;https://www.eloccidental.com.mx/local/denuncian-ciclopuerto-inseguro-en-la-colonia-mezquitan-han-reportado-asaltos-10751549.html;
Suman 13 ciclistas fallecidos en 2023 en el AMG;25/09/2023;Lider 919;Bicicleta;Siniestralidad;Varios;https://lider919.com/suman-13-ciclistas-fallecidos-en-2023-en-el-amg/;
Es Guadalupe la tercer ciclovía más demandada en el AMG;25/09/2023;Mural;Bicicleta;Ciclovía;Varios;https://www.mural.com.mx/es-guadalupe-la-tercer-ciclovia-mas-demandada-en-el-amg/ar2681408;
Ciclistas ruedan por las calles conmemorando el día mundial sin automóvil;24/09/2023;Canal 44;Bicicletas;Rodada;22 de septiembre;https://www.youtube.com/watch?v=X3HLNJ2ojbE;
Para 19 años la Vía Recreactiva sigue siendo un éxito para la convivencia familiar;24/09/2023;Canal 44;Bicicleta;Vía recreactiva;Varios;https://www.youtube.com/watch?v=uLuDadk6T4o;
La Vía RecreActiva cumplió 19 años, ¿recuerdas sus inicios?;24/09/2023;EL Occidental;Bicicleta;Vía recreactiva;Varios;https://www.eloccidental.com.mx/local/la-via-recreactiva-cumplio-19-anos-recuerdas-sus-inicios-10741715.html;
Impulsan uso de la bicicleta por el día mundial sin auto;23/09/2023;El Informador;Bicicleta;Actividades;22 de septiembre;https://www.informador.mx/jalisco/Zapopan-y-Guadalajara-Impulsan-uso-de-la-bicicleta-por-el-dia-mundial-sin-auto-20230922-0107.html;
"Con mil ejemplares físicos y sin estrategia de distribución dan a conocer el nuevo ""Manual de ciclismo urbano metropolitano""";22/09/2023;UDGTV;Bicicleta;cultura vial;Manual;https://udgtv.com/noticias/con-mil-ejemplares-fisicos-y-sin-estrategia-de-distribucion/197182;
Aumentó 24% el uso de la bici en el Área Metropolitana en 2022, según una Encuesta realizada por la AMIM;21/09/2023;Lider 919;Bicicletla;Uso;Varios;https://lider919.com/aumento-24-el-uso-de-la-bici-en-el-area-metropolitana-en-2022-segun-una-encuesta-realizada-por-la-amim/;
La ciclovía de La Paz es la más usada en la ciudad;21/09/2023;Lider 919;Bicicletla;Ciclovía;Varios;https://lider919.com/la-ciclovia-de-la-paz-es-la-mas-usada-en-la-ciudad/;
