Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link;
Tras medio siglo en la ciudad, Ignacio Martínez conoce Guadalajara en bicicleta por primera vez;11/06/2023;UDGTV;Bicicleta;Uso;Varios;https://udgtv.com/noticias/tras-medio-siglo-en-ciudad-ignacio-martinez-conoce-guadalajara-bicicleta-primera-vez/;
Advierten daños graves por ingreso de vehículos motorizados y bicis a La Primavera;09/06/2023;Notisistema;Bicicleta;Bosque primavera;Varios;https://www.notisistema.com/noticias/advierten-danos-graves-por-ingreso-de-vehiculos-motorizados-y-bicis-a-la-primavera/;
Expansión de MiBici entusiasma a Bici Blanca;08/06/2023;NTR Guadalajara;Bicicleta;Bici pública;Varios;https://www.ntrguadalajara.com/post.php?id_nota=198939;
¡A pedalear! Anuncian paseo en bicicleta para conocer los árboles más bonitos de Guadalajara;06/06/2023;El Occidental;Bicicleta;Rodada;Medio ambiente;https://www.eloccidental.com.mx/local/a-pedalear-anuncian-paseo-en-bicicleta-para-conocer-los-arboles-mas-bonitos-de-guadalajara-10178499.html;
Usuarios se manifiestan para exigir mantenimiento al servicio de MiBici;05/06/2023;Canal 44;Bicicleta;Bici pública;Manifestación;https://www.youtube.com/watch?app=desktop&v=fnjqqSj2qm8;
Hasta tres mil 500 usuarios por hora disfrutarán de Ciclovía de Javier Mina;05/06/2023;El Informador;Bicicleta;Ciclovía;Varios;https://www.informador.mx/jalisco/Guadalajara-Ciclovia-de-Javier-Mina-recibira-tres-mil-500-ciclistas-por-hora-20230605-0126.html;
Bici enfrenta retos para consolidarse como medio de transporte;04/06/2023;Pagina24Jalisco;Bicicleta;Día de la bici;Opiniones;https://pagina24jalisco.com.mx/2023/06/04/local/bici-enfrenta-retos-para-consolidarse-como-medio-de-transporte/;
Estas son las fallas que usuarios encuentran en MiBici;04/06/2023;El Informador;Bicicleta;Bici pública;Servicio;https://www.informador.mx/jalisco/MiBici-Estas-son-las-fallas-que-usuarios-encuentran-en-el-programa-de-bicicleta-publica-20230604-0075.html;
Impulsa GDL buen uso de la bici;04/06/2023;Mural;Bicicleta;Día de la bici;Varios;https://www.mural.com.mx/impulsa-gdl-buen-uso-de-la-bici/ar2617042;
Dan mapas ciclistas por Día Mundial de la Bici;04/06/2023;NTR Guadalajara;Bicicleta;Día de la bici;Varios;https://www.ntrguadalajara.com/post.php?id_nota=198717;
Hay fallas en MiBici;03/06/2023;Mural;Bicicleta;Bici pública;Fallas;https://www.mural.com.mx/hay-fallas-en-mibici/ar2616163?v=3;
Incorporarán 60 estaciones y 700 bicicletas a Mi Bici;03/06/2023;Lider 919;Bicicleta;Bici pública;Infraestructura;https://lider919.com/incorporaran-60-estaciones-y-700-bicicletas-a-mi-bici/;
Destinarán 63.7 mdp para nuevas estaciones de Mi Bici Pública en el AMG;03/06/2023;Milenio;Bicicleta;Bici pública;Infraestructura;https://www.milenio.com/politica/comunidad/bici-pubica-anuncio-ampliacion-reparacion-bicicletas;
Usuarios se manifiestan para exigir mantenimiento al servicio de MiBici;03/06/2023;UDGTV;Bicicleta;Bici pública;Manifestación;https://udgtv.com/noticias/usuarios-se-manifiestan-para-exigir-mantenimiento-al-servicio-de-mibici/;
Uso de bicicleta toma un papel más protagónico en Guadalajara;03/06/2023;Milenio;Bicicleta;Uso;Varios;https://www.milenio.com/politica/comunidad/guadalajara-cuanto-ha-crecido-el-uso-de-la-bicicleta;
“Necesitamos una ciudad más ciclista y menos cochista”;03/06/2023;Milenio;Bicicleta;Opiniones;Varios;https://www.milenio.com/politica/comunidad/guadalajara-aun-no-es-segura-para-ciclistas-dice-grecia-hernandez;
Denuncian fallas en el programa MiBici;02/06/2023;Notisistema;Bicicleta;Bici pública;Denuncia;https://www.notisistema.com/noticias/denuncian-fallas-en-el-programa-mibici/;
Un día antes de la protesta contra MiBici, “rescatan” 220 unidades para paliar la escasez;02/06/2023;UDGTV;Bicicleta;Bici pública;Equipamiento;https://udgtv.com/noticias/un-dia-antes-protesta-contra-mibici-rescatan-220-unidades-para-paliar-escasez/;
Protestarán este sábado por servicio deficiente de MiBici;02/06/2023;NTR Guadalajara;Bicicleta;Bici pública;Manifestación;https://www.ntrguadalajara.com/post.php?id_nota=198628;
Ante fallas en el servicio, baja el número de usuarios de MiBici;02/06/2023;Notisistema;Bicicleta;Bici pública;Varios;https://www.notisistema.com/noticias/ante-fallas-en-el-servicio-baja-el-numero-de-usuarios-de-mibici/;
Mayo, el mes con más afluencia en Bus-Bici de Avenida Hidalgo;01/06/2023;El Informador;Bicicleta;Bus bici;Varios;https://www.informador.mx/jalisco/Guadalajara-Mayo-el-mes-con-mas-afluencia-en-Bus-Bici-de-Avenida-Hidalgo-20230601-0099.html;
La caída de MiBici | Malos frenos y asientos que giran pone en riesgo a usuarios;01/06/2023;Canal 44;Bicicleta;Bici pública;Varios;https://www.youtube.com/watch?v=jd8KGvvCf-A;
Piden a ciclistas respetar el sentido de circulación en ciclovías;31/05/2023;Notisistema;Bicicleta;Ciclovía;Varios;https://www.notisistema.com/noticias/piden-a-ciclistas-respetar-el-sentido-de-circulacion-en-ciclovias/;
Pese a contratos millonarios, empresa proveedora de MiBici incumple en Guadalajara y en Ciudad de México;30/05/2023;UDGTV;Bicicleta;Bici pública;Varios;https://udgtv.com/noticias/pese-a-contratos-millonarios-empresa-proveedora-de-mibici-incumple-en-guadalajara-y-en-ciudad-de-mexico/;
"La caída de MiBici| Empresa canadiense gana licitación de MiBici etapa 5; BKT manteniente operación";30/05/2023;Canal 44;Bicicleta;Bici pública;Varios;https://www.youtube.com/watch?v=5xPCVz35uhk;
Comerciantes a favor de la ciclovía en Javier Mina, pero señalan hay afectaciones por obras;29/05/2023;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/ciclovia-javier-mina-comerciantes-favor-senalan-afectaciones;
"La caída de MiBici | Usuarios exigen respuestas a problemas de MiBici; ésta simplemente los ignora";29/05/2023;Canal 44;Bicicleta;Bici pública;Varios;https://www.youtube.com/watch?v=EdecejHyprI;
Video: Ciclistas reportan que automovilistas no respetan ciclovías en el Área Metropolitana;23/05/2023;TV azteca;Bicicleta;Ciclovía;Siniestralidad;https://www.aztecajalisco.com/azteca-noticias/ciclistas-reportan-automovilistas-no-respetan-ciclovias-amg;
Todo lo que debes saber sobre la ciclovía de avenida Javier Mina en Guadalajara;23/05/2023;Milenio;Bicicleta;Ciclovía;Varios;https://www.milenio.com/politica/comunidad/avenida-javier-mina-construccion-ciclovia-guadalajara;
Trabajadores de MiBici denuncian malas condiciones laborales que afecta al servicio: falta de bicicl;19/05/2023;Canal 44;Bicicleta;Bici pública;Varios;https://www.youtube.com/watch?v=5L0GD75ydNk;
Por antidoping, MiBici aplicó despido masivo en septiembre pasado;19/05/2023;Canal 44;Bicicleta;Bici pública;Varios;https://www.youtube.com/watch?v=Q364rlwklhk;
¡Por fin! Este día inician las obras de la ciclovía en Javier Mina;18/05/2023;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Guadalajara-Este-dia-inician-las-obras-de-la-ciclovia-en-Javier-Mina-20230518-0144.html;
Es insegura la ciclovía Obreros de Cananea;18/05/2023;El Occidental;Bicicleta;Ciclovía;Inseguridad;https://www.eloccidental.com.mx/local/es-insegura-la-ciclovia-obreros-de-cananea-10083748.html;
Recuerdan a ciclistas muertos con Rodada del silencio;18/05/2023;Heraldo;Bicicleta;Rodada;Siniestralidad;https://heraldodemexico.com.mx/nacional/2023/5/18/recuerdan-ciclistas-muertos-con-rodada-del-silencio-506474.html;
"MiBici lícita 60 estaciones y 772 bicicletas; usuarios reportan deficiencias en el servicio";15/05/2023;UDGTV;Bicicleta;Bici pública;Infraestructura;https://udgtv.com/noticias/mibici-licita-estaciones-y-bicicletas-usuarios-reportan-deficiencias-servicio/;
Arrollan a ciclista sobre el carril de Mi Macro Periférico;15/05/2023;NTR Guadalajara;Bicicleta;BRT;Siniestralidad;https://www.ntrguadalajara.com/post.php?id_nota=197891;
Paseantes de la Vía RecreActiva piden seguridad en torno a la zona de la Minerva, por robo de autopartes;14/05/2023;UDGTV;Bicicleta;Vía recractiva;Inseguridad;https://udgtv.com/noticias/paseantes-de-la-via-recreactiva-piden-seguridad-en-torno-a-la-zona-de-la-minerva-por-robo-de-autopartes/;
RESPONDE JOCOTEPEC A SIOP ANTE RESPONSABILIDAD DE ILUMINACIÓN DE CICLOVÍA;11/05/2023;Semanario laguna;Bicicleta;Ciclovía;Infraestructura;http://semanariolaguna.com/73702/;
Ciclovía de Javier Mina estará lista para este año: Pablo Lemus;09/05/2023;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/ciclovia-de-javier-mina-estara-lista-para-este-anos-pablo-lemus/;
Ciclovía “Javier Mina” conectará desde Tetlán hasta San Juan de Dios;09/05/2023;Trafico ZMG;Bicicleta;Ciclovía;Infraestructura;https://traficozmg.com/2023/05/ciclovia-javier-mina-conectara-desde-tetlan-hasta-san-juan-de-dios/?fbclid=IwAR0GKj4Xql3tMEQiBi-sT0UVwN62ji709dy2iIGItQ0y_0rppnktGv18y6U;
Aunque construyan ciclovía, no rehabilitarán todas las banquetas de Javier Mina;08/05/2023;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/aunque-construyan-ciclovia-no-rehabilitaran-todas-las-banquetas-de-javier-mina/;
Afirma alcalde que ciclovía de Javier Mina, no se recorta, sino que se extiende;08/05/2023;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/afirma-alcalde-que-ciclovia-de-javier-mina-no-se-recorta-sino-que-se-extiende/;
Ven inexistentes ciclovías en AMG;06/05/2023;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com.mx/ven-inexistentes-ciclovias-en-amg/ar2600062?v=2;
Alcalde de Zapotlanejo busca consolidar MiBici en el municipio;03/05/2023;El Occidental;Bicicleta;Bici pública;Infraestructura;https://www.eloccidental.com.mx/local/alcalde-de-zapotlanejo-busca-consolidar-mibici-en-el-municipio-10008257.html;
Revelan los mejores avances en los municipios de la ZMG;28/04/2023;El Informador;Bicicleta;Ciclovía;Varios;https://www.informador.mx/jalisco/Jalisco-Como-vamos-Revelan-los-mejores-avances-en-los-municipios-de-la-ZMG-20230426-0110.html;
Ciclista fue arrollado por el Tren al intentar ganarle el paso;26/04/2023;TV azteca;Bicicleta;Siniestralidad;Varios;https://www.aztecajalisco.com/azteca-noticias/ciclista-fue-arrollado-el-tren-al-intentar-ganarle-el-paso;
"Suman siete muertes de ciclistas en el AMG durante 2023; se reportaron 16 en todo el 2022";24/04/2023;Milenio;Bicicleta;Siniestralidad;Bici blanca;https://www.milenio.com/politica/comunidad/amg-suman-muertes-ciclistas-2023-16-2022;
Santuario de la bici: Rodada con causa para menores;24/04/2023;El Occidental;Bicicleta;Rodadas;Varios;https://www.eloccidental.com.mx/local/santuario-de-la-bici-rodada-con-causa-para-menores-9959422.html;
En aumento muertes de ciclistas;20/04/2023;Mural;Bicicleta;Siniestralidad;Bici blanca;https://www.mural.com.mx/en-aumento-muertes-de-ciclistas/ar2590918?v=2;
En ocho años, Mi Bici acumula 22.3 millones de viajes;18/04/2023;Milenio;Bicicleta;Bici pública;Varios;https://www.milenio.com/politica/comunidad/bici-anos-acumula-22-3-millones-viajes;
De esta forma, los ciclistas se cuidan de los accidentes viales en el AMG;18/04/2023;TV azteca;Bicicleta;Siniestralidad;Varios;https://www.aztecajalisco.com/azteca-noticias/esta-forma-ciclistas-cuidan-accidentes-viales-amg;
Sumarán 15 km de ciclovía, esta será su ubicación;17/04/2023;Publimetro;Bicicleta;Ciclovía;Infraestructura;https://www.publimetro.com.mx/puebla/2023/04/18/ciclovias-cuantos-kilometros-se-construiran-y-ubicacion/;
Ciclovías en Guadalajara genera debate entre ciclistas y automovilistas;17/04/2023;TV azteca;Bicicleta;Ciclovía;Varios;https://www.aztecajalisco.com/azteca-noticias/ciclovias-guadalajara-genera-debate-ciclistas-automovilistas;
Chocan opiniones por ciclovía en Paseos del Sol;16/04/2023;Mural;Bicicleta;Ciclovía;Opiniones;https://www.mural.com.mx/chocan-opiniones-por-ciclovia-en-paseos-del-sol/ar2587935;
"Vía RecreActiva de Tlaquepaque crecerá 2 km; apoyan expertos de la cicloruta más grande de América Latina";14/04/2023;UDGTV;Bicicleta;Vía recreactiva;Varios;https://udgtv.com/noticias/via-recreactiva-tlaquepaque-crecera-2km-apoyan-expertos-cicloruta-mas-grande-america-latina/;
"Alistan festejos por aniversario de Vía RecreActiva Tlaquepaque; Colombia país invitado";14/04/2023;Trafico ZMG;Bicicleta;Vía recreactiva;Varios;https://traficozmg.com/2023/04/alistan-festejos-por-aniversario-de-via-recreactiva-tlaquepaque-colombia-pais-invitado/?fbclid=IwAR0IKh5f4NhE5uOfXJlrkzxVwbzoXMq1T28Bx7atLmveFnhpjqSpfBgUHAI;
Llévate tu bicicleta en el Tren Ligero de Guadalajara y aprovecha los ciclopuertos en las estaciones;13/04/2023;Milenio;Bicicleta;Intermodalidad;Tren ligero;https://www.milenio.com/politica/comunidad/tren-ligero-de-guadalajara-como-llevar-tu-bicicleta-y-en-que-horario;
Lamentan deterioro de ciclovía y obstrucción de automovilistas en Guadalajara;11/04/2023;Milenio;Bicicleta;Ciclovía;Mantenimiento;https://www.milenio.com/politica/comunidad/guadalajara-ciclovia-perez-arce-presenta-deterioro;
Locales en Guadalajara cambian el auto por la bicicleta para distribuir su mercancía;24/03/2023;Canal 44;Bicicleta;Uso;Cargo;https://www.youtube.com/watch?app=desktop&v=WJEvI6n6Tho;
Van 6 ciclistas muertos tras atropellamientos;23/03/2023;NTR Guadalajara;Bicicleta;Siniestralidad;Bici blanca;https://www.ntrguadalajara.com/post.php?id_nota=195673;
Guadalajara, en transición de uso del vehículo a bicicleta de carga para distribución de mercancías;23/03/2023;Canal 44;Bicicleta;Uso;Cargo;https://www.youtube.com/watch?v=603W2rufnwM;
Aprovechan segundo día de Vía Recreactiva;20/03/2023;Meganoticias;Bicicleta;Vía recreactiva;Varios;https://www.meganoticias.mx/guadalajara/noticia/aprovechan-segundo-dia-de-via-recreactiva/408701;
Charlan mujeres ciclistas sobre la movilidad en la ZMG;19/03/2023;Mural;Bicicleta;Acciones ciudadanas;Charlas;https://www.mural.com.mx/charlan-mujeres-ciclistas-sobre-la-movilidad-en-la-zmg/ar2572161;
"Invaden ciclovías en la ZMG; ocultan multas";18/03/2023;Mural;Bicicleta;Ciclovía;Infracciones;https://www.mural.com.mx/invaden-ciclovias-en-la-zmg-ocultan-multas/ar2571784?v=5;
Ciudadanos ven con buenos ojos la ciclovía de Javier Mina;11/03/2023;El Occidental;Bicicleta;Ciclovía;Aceptación;https://www.eloccidental.com.mx/local/ciudadanos-ven-con-buenos-ojos-la-ciclovia-de-javier-mina-9751225.html;
SIN REGLAMENTOS LA CICLOPISTA EN LA RIBERA DE CHAPALA;07/03/2023;Seminario laguna;Bicicleta;Ciclovía;Ley;http://semanariolaguna.com/72513/;
Machuelos de concreto en ciclovías se quedan, determina el Ayuntamiento tapatío;06/03/2023;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Guadalajara-Quitaran-los-machuelos-de-concreto-en-ciclovias-Esto-dice-el-Ayuntamiento-20230306-0114.html;
Buscan construir ciclovía en Ayotlán;28/02/2023;UDGTV;Bicicleta;Ciclovía;Infraestructura;https://udgtv.com/noticias/ocotlan-noticias/buscan-construir-ciclovia-ayotlan/;
¿Se te ponchó la llanta de la bici? Te decimos a qué lugares acudir de la ZMG;24/02/2023;El Occidental;Bicicleta;Acciones de gobierno;Mapa;https://www.eloccidental.com.mx/doble-via/se-te-poncho-la-llanta-de-la-bici-te-decimos-a-que-lugares-acudir-de-la-zmg-9671110.html;
Ciclovía Javier Mina busca bajar lesiones y muertes ciclistas;20/02/2023;Lider 919;Bicicleta;Ciclovía;Siniestralidad;https://lider919.com/ciclovia-javier-mina-busca-bajar-lesiones-y-muertes-ciclistas/;
Ciclovías se extienden por Guadalajara, pero falta conectarlas y volverlas más seguras;12/02/2023;Publimetro;Bicicleta;Ciclovía;Infraestructura;https://www.publimetro.com.mx/jalisco/2023/02/12/cuales-son-las-ciclovias-mas-usadas-de-guadalajara/;
Suman 2 mil 640 ciclistas diarios en un solo sentido de Paseo Alcalde;09/02/2023;Notisistema;Bicicleta;Uso;Contador;https://www.notisistema.com/noticias/suman-2-mil-640-ciclistas-diarios-en-un-solo-sentido-de-paseo-alcalde/;
Preparan conexión ciclista de paseo Alcalde a Niños Héroes;09/02/2023;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/Ciclovia-Preparan-conexion-ciclista-de-paseo-Alcalde-a-Ninos-Heroes-l202302090002.html;
Motociclistas y automovilistas no respetan las ciclovías;09/02/2023;Pagina 24 Jalisco;Bicicleta;Ciclovía;Invasiones;https://pagina24jalisco.com.mx/2023/02/09/local/motociclistas-y-automovilistas-no-respetan-las-ciclovias/;
Presentan mapa para ciclistas en Guadalajara y Zapopan, ¿en qué consiste?;08/02/2023;El Informador;Bicicleta;Acciones de gobierno;Mapa;https://www.informador.mx/jalisco/Guadalajara-y-Zapopan-Presentan-mapa-para-ciclistas-en-que-consiste-20230207-0082.html;
Suben 20% viajes de MiBici en enero;08/02/2023;Mural;Bicicleta;Bici pública;Servicio;https://www.mural.com.mx/suben-20-viajes-de-mibici-en-enero/ar2549817;
En Paseo Alcalde circulan 2 mil 674 bicicletas al día, revela dispositivo contador;02/02/2023;Lider 919;Bicicleta;Uso;Contador;https://lider919.com/en-paseo-alcalde-circulan-2-mil-674-bicicletas-al-dia-revela-dispositivo-contador/;
Inician obras en las banquetas de Javier Mina para la ciclovía;26/01/2023;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Ciclovia-en-Javier-Mina-Inician-obras-en-las-banquetas-de-la-avenida-en-Guadalajara-20230126-0112.html;
Complejo transitar por la ciclovía de Guadalupe;26/01/2023;Pagina 24 Jalisco;Bicicleta;Ciclovía;Varios;https://pagina24jalisco.com.mx/2023/01/26/local/complejo-transitar-por-la-ciclovia-de-guadalupe/;
Falta estrategia en la implementación de infraestructura ciclista en AMG;25/01/2023;UDG  ;Bicicleta;Ciclovía;Infraestructura;https://www.udg.mx/es/noticia/falta-estrategia-en-la-implementacion-de-infraestructura-ciclista-en-amg;
EL TRAMO FUE ENTREGADO POR EL GOBIERNO DE JALISCO EL 17 DE DICIEMBRE;25/01/2023;Seminario Laguna;Bicicleta;Ciclovía;Infraestructura;http://semanariolaguna.com/71618/;
Bicicleta Blanca: la iniciativa que combate agresiones a ciclistas en Guadalajara;24/01/2023;Silla rota;Bicicleta;Siniestralidad;Bici blanca;https://lasillarota.com/estados/2023/1/24/bicicleta-blanca-la-iniciativa-que-combate-agresiones-ciclistas-en-guadalajara-411413.html;
Circulación en Javier Mina será normal pese a obras, asegura Pablo Lemus;23/01/2023;Milenio;Bicicleta;Ciclovía;Coches;https://www.milenio.com/politica/comunidad/javier-mina-circulacion-normal-pese-obras;
No se reducirán carriles durante intervención en la Avenida Javier Mina, aclara Lemus Navarro;23/01/2023;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/no-se-reduciran-carriles-durante-la-intervencion-en-la-avenida-javier-mina-aclara-lemus-navarro/;
Pese a beneficios por las obras en Javier Mina, algunos comerciantes se oponen a la ciclovía;23/01/2023;UDGTV;Bicicleta;Ciclovía;Oposición;https://udgtv.com/noticias/pese-beneficios-por-obras-javier-mina-comerciantes-oponen-ciclovia/;
MiBici: Una alternativa de transporte que va ganando terreno;23/01/2023;El Occidental;Bicicleta;Bici pública;Varios;https://www.eloccidental.com.mx/local/mibici-una-alternativa-de-transporte-que-va-ganando-terreno-9480443.html;
Arrancará Guadalajara las obras del Corredor Integral Javier Mina;22/01/2023;Quadratin;Bicicleta;Ciclovía;Infraestructura;https://jalisco.quadratin.com.mx/guadalajara/arrancara-guadalajara-las-obras-del-corredor-integral-javier-mina/;
Usan como estacionamiento la ciclovía de avenida Guadalupe;22/01/2023;Pagina 24 Jalisco;Bicicleta;Ciclovía;Rechazo;https://pagina24jalisco.com.mx/2023/01/22/local/usan-como-estacionamiento-la-ciclovia-de-avenida-guadalupe/;
Piden garantizar seguridad de ciclistas para convivir con automovilistas;19/01/2023;NTR Guadalajara;Bicicleta;Siniestralidad;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=192968;
Repuntan viajes de MiBici y planean ampliar estaciones;19/01/2023;El Informador;Bicicleta;Bici pública;Servicio;https://www.informador.mx/MiBici-Repuntan-viajes-y-planean-ampliar-estaciones-l202301190002.html;
Usuarios de MiBici piden la ampliación de ciclopuertos y mejorar mantenimiento;18/01/2023;El Informador;Bicicleta;Bici pública;Servicio;https://www.informador.mx/jalisco/MiBici-Usuarios-piden-la-ampliacion-de-ciclopuertos-y-mejorar-mantenimiento-en-bicicletas-20230118-0165.html;
Sistema Mi Bici cierra 2022 con 10 % menos viajes que antes de la pandemia;16/01/2023;UDGTV;Bicicleta;Bici pública;Servicio;https://udgtv.com/noticias/sistema-mi-bici-cierra-2022-10-menos-viajes-que-antes-de-pandemia/;
En 2022, 109 personas fallecieron por atropellamiento en Jalisco;12/01/2023;Milenio;Bicicleta;Siniestralidad;Bici blanca;https://www.milenio.com/politica/comunidad/jalisco-2022-109-personas-fallecieron-atropellamiento;
La VíaRecreActiva de Zapopan es un espacio para disfrutar en familia;08/01/2023;El Occidental;Bicicleta;Vía recreactiva;Varios;https://www.eloccidental.com.mx/local/la-viarecreactiva-de-zapopan-es-un-espacio-para-disfrutar-en-familia-9436675.html;
Video: Ciclista fue atropellado luego de una discusión en Zapopan;03/01/2023;TV Azteca;Bicicleta;Siniestralidad;Varios;https://www.aztecajalisco.com/noticias/videos/ciclista-fue-atropellado-luego-de-una-discusion-en-zapopan;
Realiza Mi Bici una encuesta a usuarios para mejorar el servicio en 2023 ;02/01/2023;UDGTV;Bicicleta;Bici pública;Varios;https://udgtv.com/noticias/realiza-mi-bici-una-encuesta-a-usuarios-para-mejorar-servicio-en-2023/;
