Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link
"Rechazan obra de ciclovía en Zapopan; manifestante se tira al suelo";08/07/2020;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/zapopan-ciclovia-hombre-echa-suelo-protesta
Persiste el rechazo a la ciclovía;08/07/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=151374
Protestan por construcción de la ciclovía de Av. Guadalupe;08/07/2020;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/protestan-por-construccion-de-la-ciclovia-de-av-guadalupe/
Acusan vecinos de Guadalupe que Zapopan no escucha;07/07/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/acusan-vecinos-de-guadalupe-que-zapopan-no-escucha/ar1983035
Dialoga Zapopan con vecinos de avenida Guadalupe ;07/07/2020;Zapopan;Bicicleta;Ciclovía;Infraestructura;https://www.zapopan.gob.mx/v3/noticias/dialoga-zapopan-con-vecinos-de-avenida-guadalupe
Vecinos de avenida Guadalupe continúan oponiéndose a la ciclovía que mantiene su construcción;07/07/2020;Canal 44;Bicicleta;Ciclovía;Infraestructura;https://www.youtube.com/watch?v=K6B0lgAR-6w
Sí a ciclovía, pero sin invadir carriles, piden vecinos de Av. Guadalupe;06/07/2020;Quadrin;Bicicleta;Ciclovía;Infraestructura;https://jalisco.quadratin.com.mx/guadalajara/si-a-ciclovia-pero-sin-invadir-carriles-piden-vecinos-de-av-guadalupe/
"Impiden obra de ciclovía en avenida Guadalupe; vecino destruyó un separador del carril";06/07/2020;Cronica Jalisco;Bicicleta;Ciclovía;Infraestructura;https://www.cronicajalisco.com/notas-impiden_obra_de_ciclovia_en_avenida_guadalupe_vecino_destruyo_un_separador_del_carril-100871-2020
Zapopan emprenderá acciones contra quienes dañaron la ciclovía de avenida Guadalupe;06/07/2020;El Occidental;Bicicleta;Ciclovía;Infraestructura;https://www.eloccidental.com.mx/local/noticias-zapopan-acciones-danos-ciclovia-avenida-guadalupe-5460032.html
"Persiste polémica por ciclovía de Avenida Guadalupe; vecinos destruyen parte de la infraestructura";06/07/2020;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/persiste-polemica-por-ciclovia-de-avenida-guadalupe-vecinos-destruyen-parte-de-la-infraestructura/
Vecinos salen de madrugada a impedir obra de la ciclovía en avenida Guadalupe;06/07/2020;UDGTV;Bicicleta;Ciclovía;Infraestructura;http://udgtv.com/noticias/vecinos-salen-impedir-obra-ciclovia-avenida-guadalupe/
En pie de guerra vecinos de Avenida Guadalupe por ciclovía;06/07/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/en-pie-de-guerra-vecinos-de-avenida-guadalupe-por-ciclovia/ar1981680
Escala el conflicto por la construcción de una ciclovía en Zapopan;06/07/2020;Publimetro;Bicicleta;Ciclovía;Infraestructura;https://www.publimetro.com.mx/mx/noticias/2020/07/06/escala-conflicto-la-construccion-una-ciclovia-en-zapopan.html
Zapopan solicita a sindicatura presentar demanda por daños a ciclovía en Chapalita;06/07/2020;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Zapopan-solicita-a-sindicatura-presentar-demanda-por-danos-a-ciclovia-en-Chapalita-20200706-0092.html
Ciclovía en Guadalupe seguirá proyecto original, sostiene el Ayuntamiento de Zapopan;06/07/2020;UDGTV;Bicicleta;Ciclovía;Infraestructura;http://udgtv.com/noticias/ciclovia-en-guadalupe-proyecto-original-zapopan/
Dañan vecinos ciclovía de Avenida Guadalupe;06/07/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/danan-vecinos-ciclovia-de-avenida-guadalupe/ar1982118
Ofrecen alternativas a ciclovía en disputa;27/06/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/ofrecen-alternativas-a-ciclovia-en-disputa/ar1975490?v=2
Avala el Observatorio Ciudadano de Movilidad, la obra de la ciclovía en avenida Guadalupe;27/06/2020;UDGTV;Bicicleta;Ciclovía;Infraestructura;http://udgtv.com/noticias/avala-observatorio-ciudadano-movilidad-obra-ciclovia-guadalupe/
Descalifican vecinos de Av. Guadalupe al Observatorio Ciudadano de Movilidad;26/06/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/descalifican-vecinos-de-av-guadalupe-al-observatorio-ciudadano-de-movilidad/
Vecinos de Guadalupe aseveran que seguirán su lucha contra ciclovía;26/06/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/vecinos-de-guadalupe-aseveran-que-seguiran-su-lucha-contra-ciclovia/
Respalda Observatorio Ciudadano de Movilidad ciclovía de Avenida Guadalupe;26/06/2020;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/respalda-observatorio-ciudadano-de-movilidad-ciclovia-de-avenida-guadalupe/
Vecinos de la avenida Guadalupe insisten contra construcción de ciclovía;26/06/2020;UDGTV;Bicicleta;Ciclovía;Infraestructura;http://udgtv.com/noticias/vecinos-la-avenida-guadalupe-insisten-construccion-ciclovia/
Vecinos entregan propuestas de ciclovía al ayuntamiento de Zapopan;26/06/2020;El Occidental;Bicicleta;Ciclovía;Infraestructura;https://www.eloccidental.com.mx/local/noticias-ayuntamiento-de-zapopan-colonoa-avenida-guadalupe-alcalde-pablo-lemus-navarro-propuestas-5416711.html
Sigue discusión por ciclovía emergente en Av. Guadalupe;26/06/2020;Meganoticias;Bicicleta;Ciclovía;Infraestructura;https://www.meganoticias.mx/guadalajara/noticia/sigue-discusion-por-ciclovia-emergente-en-av-guadalupe/158826
Pide Observatorio de Movilidad continuar con la ciclovía de avenida Guadalupe;25/06/2020;Trafico ZMG;Bicicleta;Ciclovía;Infraestructura;https://traficozmg.com/2020/06/pide-observatorio-de-movilidad-continuar-con-la-ciclovia-de-avenida-guadalupe/
Respalda Observatorio de Movilidad construcción de ciclovía en Av.Guadalupe;25/06/2020;Meganoticias;Bicicleta;Ciclovía;Infraestructura;https://www.meganoticias.mx/guadalajara/noticia/respalda-observatorio-de-movilidad-construccion-de-ciclovia-en-avguadalupe/158532
Piden continuar con ciclovía emergente en Guadalupe;25/06/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/piden-continuar-con-ciclovia-emergente-en-guadalupe/ar1974590?v=3
Sentencia autoridad zapopana que ciclovía de Guadalupe no tendrá cambios;18/06/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/sentencia-autoridad-zapopana-que-ciclovia-de-guadalupe-no-tendra-cambios/?utm_source=dlvr.it&utm_medium=facebook
"Van contra ciclovía; les piden diálogo";17/06/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/van-contra-ciclovia-les-piden-dialogo/ar1967704?v=2
Vecinos inconformes con ciclovía emergente de Av. Guadalupe;17/06/2020;Meganoticias;Bicicleta;Ciclovía;Infraestructura;https://www.meganoticias.mx/cdmx/noticia/vecinos-inconformes-con-ciclovia-emergente-de-av-guadalupe/156258
Resuelven diferencias por ciclovía emergente en Guadalupe;17/06/2020;Meganoticias;Bicicleta;Ciclovía;Infraestructura;https://www.meganoticias.mx/guadalajara/noticia/resuelven-diferencias-por-ciclovia-emergente-en-guadalupe/156082
Licitan 56 obras a realizar con deuda;17/06/2020;NTR Guadalajara;Bicicleta;Ciclovía;Presupuesto;https://www.ntrguadalajara.com/post.php?id_nota=150311
Realizan cambios en ciclovía de Guadalupe, pero no todo lo solicitado por vecino;16/06/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/realizan-cambios-en-ciclovia-de-guadalupe-pero-no-todo-lo-solicitado-por-vecinos/
Amagan con impedir trabajos de la ciclovía de avenida Guadalupe;16/06/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/amagan-con-impedir-trabajos-de-la-ciclovia-de-avenida-guadalupe/
Guadalajara salta al primer lugar en ranking ciclista y desplaza a CDMX;16/06/2020;El Informador;Bicicleta;Infraestructura;Infraestructura;https://www.informador.mx/jalisco/Guadalajara-salta-al-primer-lugar-en-ranking-ciclista-y-desplaza-a-CDMX--20200616-0071.html
Carril Bus-Bici de Hidalgo tiene un 50% de avance;14/06/2020;NTR Guadalajara;Bicicleta;Carril bus-bici;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=150130
Concluyen ciclovía emergente en avenida México;14/06/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=150129
No cesan protestas por ciclovía en Guadalupe;14/06/2020;Pagina 24;Bicicleta;Ciclovía;Infraestructura;https://pagina24jalisco.com.mx/2020/06/14/local/no-cesan-protestas-por-ciclovia-en-guadalupe/
GUADALAJARA ENCABEZA EL RANKING DE 31 CIUDADES QUE IMPULSAN EL USO DE LA BICICLETA;13/06/2020;Pasajero 7;Bicicleta;Infraestructura;Infraestructura;http://www.pasajero7.com/guadalajara-encabeza-ranking-31-ciudades-impulsan-uso-la-bicicleta/
Que ciclovía vaya por camellón: Vecinos de avenida Guadalupe;12/06/2020;Pagina 24;Bicicleta;Ciclovía;Infraestructura;https://pagina24jalisco.com.mx/2020/06/12/local/que-ciclovia-vaya-por-camellon-vecinos-de-avenida-guadalupe/
Ciclovía en camellón no es segura ni viable;11/06/2020;W Radio;Bicicleta;Ciclovía;Infraestructura;https://wradio.com.mx/emisora/2020/06/12/guadalajara/1591920204_308176.html
Colectivo dice “Sí a la Ciclovía” de Avenida Guadalupe;11/06/2020;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/colectivo-dice-si-a-la-ciclovia-de-avenida-guadalupe/
Aumentó 43% aforos en la ciclovía de Avenida Guadalupe en Zapopan;11/06/2020;Quadratin Jalisco;Bicicleta;Ciclovía;Infraestructura;https://jalisco.quadratin.com.mx/principal/aumento-43-aforos-en-la-ciclovia-de-avenida-guadalupe-en-zapopan/
Chocan' por ciclovía en Avenida Guadalupe;10/06/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/chocan-por-ciclovia-en-avenida-guadalupe/ar1963567
Ciclovía en Guadalupe es riesgosa para ciclistas y colapsará la zona: vecinos;10/06/2020;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Ciclovia-en-Guadalupe-es-riesgosa-para-ciclistas-y-colapsara-la-zona-vecinos-20200610-0133.html
Entrega Ayuntamiento de Zapopan 140 bicicletas a los 14 mercados municipales, para promover el servicio a domicilio;10/06/2020;Lider 919;Bicicleta;Ciclovía;Varios;https://lider919.com/entrega-ayuntamiento-de-zapopan-140-bicicletas-a-los-14-mercados-municipales-para-promover-el-servicio-a-domicilio/
Piden vecinos planeación en ciclovía emergente;06/06/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/piden-vecinos-planeacion-en-ciclovia-emergente/ar1960302?v=2
Para evitar contagios por covid-19 en traslados, ciudadanos optan por el uso de ciclovías;03/06/2020;Canal 44;Bicicleta;Ciclovía;COVID 19;https://www.youtube.com/watch?v=Tsr9em0S1Ho
La bicicleta gana terreno en medio de la pandemia por Covid-19;03/06/2020;El Occidental;Bicicleta;Ciclovía;COVID 19;https://www.eloccidental.com.mx/local/la-bicicleta-gana-terreno-en-medio-de-la-pandemia-por-covid-19-5317779.html
En el Día Mundial de la Bicicleta celebran que la ciudad tiene más de 100 kms de ciclovías;03/06/2020;Cronica Jalisco;Bicicleta;Ciclovía;Infraestructura;https://www.cronicajalisco.com/notas-en_el_dia_mundial_de_la_bicicleta_celebran_que_la_ciudad_tiene_mas_de_100_kms_de_ciclovias-99863-2020
Guadalajara “celebra” el Día Mundial de la Bicicleta;03/06/2020;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/guadalajara-celebra-el-dia-mundial-de-la-bicicleta/
Celebraron el Día de la Bicicleta alrededor del mundo;03/06/2020;El Occidental;Bicicleta;Ciclovía;Varios;https://www.eloccidental.com.mx/local/celebraron-el-dia-de-la-bicicleta-alrededor-del-mundo-pedales-moto-coches-5316557.html
Retrasan las obras para reducir uso del auto en ZMG;02/06/2020;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/Retrasan-las-obras-para-reducir-uso-del-auto-en-ZMG-l202006020001.html
Ciclista si ven con buenos ojos una ciclovía enLas Torres para evitar el Periférico;02/06/2020;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/ciclista-si-ven-con-buenos-ojos-una-ciclovia-enlas-torres-para-evitar-el-periferico/
Prevén terminar ciclovías pendientes en junio y julio;02/06/2020;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Preven-terminar-ciclovias-pendientes-en-junio-y-julio-20200602-0128.html
Comerciantes y vecinos protestan contra ciclovía en Avenida Guadalupe;02/06/2020;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/zapopan-comerciantes-protestan-ciclovia-avenida-guadalupe
Disminuyen viajes en MiBici hasta en 80% por coronavirus;27/05/2020;Milenio;Bicicleta;Bici pública;COVID 19;https://www.milenio.com/politica/comunidad/coronavirus-jalisco-disminuyen-viajes-mibici-80
Construirán ciclovías para desaturar transporte público;27/05/2020;Milenio;Bicicleta;Ciclovía;COVID 19;https://www.milenio.com/politica/comunidad/ciclovias-guadalajara-zapopan-desaturar-transporte-publico
COMIENZAN LOS TRABAJOS DE LA CICLOVÍA EMERGENTE EN AV. MÉXICO;27/05/2020;Pasajero 7;Bicicleta;Ciclovía;COVID 19;http://www.pasajero7.com/comienzan-trabajos-ciclovia-emergente-av-mexico/
Ven positiva vía ciclista en Av. Hidalgo;27/05/2020;Meganoticias;Bicicleta;Ciclovía;COVID 19;https://www.meganoticias.mx/guadalajara/noticia/ven-positiva-via-ciclista-en-av-hidalgo/150958
Vecinos de la Seattle protestan por obras ;27/05/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=149278
Piden plan para transporte no motorizado en GDL;27/05/2020;NTR Guadalajara;Bicicleta;Planeación;COVID 19;https://www.ntrguadalajara.com/post.php?id_nota=149245
Baja uso de Mi Bici por coronavirus;26/05/2020;Mural;Bicicleta;Bici pública;COVID 19;https://www.mural.com/baja-uso-de-mi-bici-por-coronavirus/ar1952073?v=2
Ampliará GDL 13 km de ciclovías por coronavirus;26/05/2020;NTR Guadalajara;Bicicleta;Ciclovía;COVID 19;https://www.ntrguadalajara.com/post.php?id_nota=149186
Implementan ciclovías emergentes en Guadalajara para evitar saturación del transporte;26/05/2020;UDGTV;Bicicleta;Ciclovía;COVID 19;http://udgtv.com/noticias/ciclovias-emergentes-guadalajara-evitar-saturacion-transporte/
Piden habilitar red de ciclovías emergentes como parte de la estrategia contra el COVID-19;22/05/2020;Lider 919;Bicicleta;Ciclovía;COVID 19;https://lider919.com/piden-habilitar-red-de-ciclovias-emergentes-como-parte-de-la-estrategia-contra-el-covid-19/
Habilitará Zapopan 3 ciclovías emergentes;21/05/2020;Mural;Bicicleta;Ciclovía;COVID 19;https://www.mural.com/habilitara-zapopan-3-ciclovias-emergentes/ar1946613
Inician obra de ciclovía “emergente” en Avenida Guadalupe;20/05/2020;El Informador;Bicicleta;Ciclovía;COVID 19;https://www.informador.mx/jalisco/Inician-obra-de-ciclovia-emergente-en-Avenida-Guadalupe-20200520-0150.html
Disminuyen traslados de Mi Bici durante la pandemia;19/05/2020;El Informador;Bicicleta;Bici pública;COVID 19;https://www.informador.mx/jalisco/Disminuyen-traslados-de-Mi-Bici-durante-la-pandemia-20200519-0138.html
Instalará Zapopan ciclovías emergentes ante coronavirus;18/05/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/instalara-zapopan-ciclovias-emergentes-ante-coronavirus/ar1944991
Va al 94% renovación de ciclovía en Federalismo;18/05/2020;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com/va-al-94-renovacion-de-ciclovia-en-federalismo/ar1945653
Muere ciclista tras ser arrollado en Periférico Poniente;18/05/2020;El Informador;Bicicleta;Siniestralidad;Transporte público;https://www.informador.mx/jalisco/Muere-ciclista-tras-ser-arrollado-en-Periferico-Poniente-20200518-0115.html
Renovación de ciclovía, con 90% de avance ;04/05/2020;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=147969
Llegan 450 bicicletas para MiBici;01/04/2020;Mural;Bicicleta;Bici pública;Bici pública;https://www.mural.com/llegan-450-bicicletas-para-mibici/ar1909289?v=2
