Unnamed: 0,medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
0,Mural,30/12/2025,Descuidan ciclovía de Avenida Patria,trafilatura,trafilatura,631,0.77,https://www.mural.com.mx/descuidan-ciclovia-de-avenida-patria/ar3128748?v=2,,"Descuidan ciclovía de Avenida Patria
02 MIN 00 SEG
Abraham Acosta
Guadalajara, México (30 diciembre 2025) .-05:00 hrs
Entre basura, hojas secas y piedras es como se encuentra la ciclovía de la Avenida Patria que conecta con la Central Nueva y la Avenida Río Nilo. Crédito: Abraham Acosta
Reportan vecinos que hay algunos puntos donde los bolardos están destruidos. Además, es invadida por vehículos. Crédito: Abraham Acosta
Entre basura, hojas secas y piedras es como se encuentra la ciclovía de la Avenida Patria que conecta con la Central Nueva y la Avenida Río Nilo, por lo que vecinos denuncian que se encuentra en el abandono."
3,El Occidental,28/12/2025,La VíaRecreativa de Tabachines es más segura para las niñas y los niños,trafilatura,trafilatura,405,0.46,https://oem.com.mx/eloccidental/local/la-viarecreativa-de-tabachines-es-mas-segura-para-las-ninas-y-los-ninos-27435236,,"Localdomingo, 28 de diciembre de 2025
Las familias salen a disfrutar el último domingo 2025 a una de las rutas más tranquilas de Zapopan
LOCAL
En el Segundo Informe de la presidenta de Tlaquepaque, Laura Imelda Pérez no se habló de los homicidios cometidos en lo que va del año
Le encontraron el dispositivo oculto entre sus prendas de vestir
Estiman que al centro de Guadalajara asistirán 92 mil personas"
4,Notigram,21/12/2025,Reconocen Copenhague y Unión Europea a Guadalajara como la ciudad mexicana más biciamigable de Latinoamérica,trafilatura,trafilatura,3412,0.53,https://notigram.com/jalisco-estado/local/reconocen-copenhague-y-union-europea-a-guadalajara-como-la-ciudad-mexicana-mas-biciamigable-de-latinoamerica-20251221-1617053,,"Guadalajara fue reconocida como la ciudad mexicana más biciamigable de Latinoamérica en la edición 2025 del Índice de Copenhague, uno de los rankings globales más relevantes en materia de planeación ciclista, impulsado por el Gobierno de Copenhague, la Unión Europea y el Instituto Europeo de Innovación y Tecnología (EIT Urban Mobility).
Este reconocimiento posiciona a la capital de Jalisco dentro del top cinco de ciudades más biciamigables de la región, siendo la única ciudad mexicana incluida en este grupo, junto con urbes de Brasil, Colombia y Argentina.
La distinción es resultado de una visión metropolitana sostenida, basada en instrumentos técnicos, coordinación intermunicipal y políticas públicas de largo plazo en materia de movilidad. La evaluación destaca el trabajo coordinado entre el Instituto de Planeación y Gestión del Desarrollo del Área Metropolitana de Guadalajara (Imeplan), los nueve municipios del Área Metropolitana de Guadalajara (AMG) y las instancias estatales responsables de la política de movilidad.
El Índice de Copenhague analiza el desempeño de las ciudades a partir de 13 indicadores, agrupados en tres pilares: infraestructura ciclista segura y conectada, uso y adopción social de la bicicleta, y apoyo político e institucional sostenido.
En este contexto, la existencia del Plan Integral de Movilidad Urbana Sustentable (PIMUS) y del Plan Maestro MiBici fue determinante para que Guadalajara obtuviera una evaluación positiva en aspectos relacionados con planeación, gobernanza, inversión continua y capacidad institucional.
El PIMUS, como instrumento rector de la movilidad metropolitana, establece una visión de largo plazo para el AMG y proyecta la ampliación de la infraestructura ciclista durante los próximos 15 años, con la meta de alcanzar 793 kilómetros de ciclovías metropolitanas, fortaleciendo la conectividad, la seguridad vial y el acceso equitativo a la movilidad no motorizada.
Por su parte, el Plan Maestro MiBici, desarrollado por el Imeplan con asistencia técnica de la Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas (FIAP) y financiamiento de la Unión Europea, define una hoja de ruta para la evolución del sistema de bicicletas públicas. Entre sus ejes se encuentran la ampliación de la cobertura territorial, el inicio de la electrificación de la flota y la implementación del programa MiBici+, diseñado para llevar el sistema a zonas más alejadas del polígono central.
MiBici+ contempla un programa piloto con 34 bicicletas, algunas de ellas con la posibilidad de incorporar sillas porta infantes, ampliando el uso cotidiano de la bicicleta para traslados familiares, tareas de cuidado y recorridos de mayor distancia, bajo criterios de inclusión, equidad y perspectiva de género.
A la calificación positiva también se suma la operación del sistema MiBici Pública, que actualmente cuenta con más de 360 estaciones y cerca de 4 mil bicicletas en el Área Metropolitana de Guadalajara, así como la integración de datos, monitoreo, participación social y continuidad de las políticas públicas en movilidad ciclista.
El reconocimiento internacional refuerza la relevancia de contar con instituciones metropolitanas sólidas y políticas públicas que trascienden administraciones y límites municipales, posicionando al AMG como un referente regional en movilidad sostenible y planeación urbana centrada en las personas."
6,Notisistema,15/12/2025,Recuperación de bicicletas MiBici aumenta 73 por ciento en dos meses,trafilatura,trafilatura,545,0.32,https://www.notisistema.com/noticias/recuperacion-de-bicicletas-mibici-aumenta-73-en-dos-meses/,,"La Agencia Metropolitana de Infraestructura para la Movilidad informó que la recuperación de bicicletas robadas del sistema MiBici aumentó 73 por ciento durante octubre y noviembre, periodo en el que fueron aseguradas 109 unidades.
El organismo atribuyó el incremento a la coordinación con Policías Municipales, a la videovigilancia y la colaboración ciudadana.
El administrador Antonio Martín del Campo detalló que cada bici recuperada pasa por un proceso legal y revisión en taller para reemplazo de piezas antes de reincorporarse al servicio."
7,Animal politico,14/12/2025,"¿Qué tan ciclista es tu ciudad? Guadalajara, León y CDMX tienen el mayor kilometraje de ciclovías, aunque no todas son seguras",trafilatura,trafilatura,6511,1.01,https://grupoanimal.mx/estados/ciclovias-seguras-infraestructura-guadalajara-leon-cdmx,,"Redacción Animal Político · 14 de diciembre de 2025
El Monitor Ciclociudades, herramienta que analiza y mide el avance de la promoción del uso de la bicicleta en 26 ciudades de 8 países en América Latina, destacó el uso de este medio de transporte en países como México, Chile, Argentina y Colombia al cierre de 2025.
De acuerdo con el índice presentado por el Institute for Transportation and Development Policy (ITDP), las ciudades con más kilómetros totales de infraestructura ciclista fueron Santiago de Chile, Buenos Aires, Guadalajara, León y Ciudad de México.
Sin embargo, al evaluar el porcentaje de vías ciclistas que cumplen con criterios de diseño adecuados (según los usuarios, quienes evaluaron el ancho de vías y velocidad máxima permitida para garantizar la circulación segura), las ciudades mejor evaluadas fueron Cancún (88%), Monterrey (87%), Tulancingo (74%), Oaxaca (74%) y León (66%).
Acerca de la inversión en infraestructura ciclista per cápita, en la que se considera el presupuesto destinado a la ampliación o mantenimiento de la red, ya sea en confinadores, pavimentación o señalización, destacaron Ahome (124.16), Cartagena (30.88), Querétaro (30.35), Torreón (27.18) y León (18.67).
En comparación con el 2024, el ITDP encontró que hubo un 3.39% de crecimiento de la red vial ciclista, principalmente en San Pedro Garza (36.8%), Monterrey (25.7%), Querétaro (8.3%), Puebla (4.6%) y León (2.7%).
Los ciclistas encuestados por la organización respondieron que las urbes donde usan más días a la semana la bicicleta en promedio son León (5.62), Ciudad de México (5.03), Guadalajara (4.84), Bogotá (4.75) y Ciudad Juárez (4.72).
Entre las razones por las que las personas dijeron que empezaron a utilizar la bicicleta es porque es un medio de transporte más económico, destacando las ciudades de Guadalajara (57%), León (52%), Bogotá (48%), Zamora (44%) y Querétaro (42%).
Algunos mencionaron que utilizan bicicleta porque es más rápido y práctico, principalmente en la Ciudad de México (76%), Guadalajara (74%), Cali (71%), Querétaro (66%) y Bogotá (64%).
Lee: *4 cosas que faltan para que la Ciclovía Insurgentes* sea realmente segura para ciclistas
Otro motivo que mencionaron fue el que usan bici porque es más seguro, con mayor porcentaje en León (9%), Cali (7%), Tacna (6%), Ciudad de México (5%), Puebla (5%) y Bogotá (4%).
Como un incentivo al uso de este transporte, se contabilizaron las sesiones de biciescuelas realizadas durante el año de evaluación: la Ciudad de México encabezó la lista con 8 mil 502, seguida de Guadalajara con 106, Querétaro con 67, Zapopan con 66 y Oaxaca con 60.
Pese a este tipo de herramientas de educación, se documentó que Guadalajara fue la ciudad con más siniestros que involucran a ciclistas, con 62.09 por cada 100 mil habitantes. Le siguió Buenos Aires con 26.59, Ciudad de México con 23.05, San Pedro Garza con 21.97 y Mérida con 21.2.
Al presentar los resultados del Monitor Ciclociudades 2025, Jesús Sánchez Romero, director de Civita, explicó que en la década de los 90 hubo una serie de iniciativas incipientes en todo México, que por mucho tiempo consistió en la existencia de infraestructura ciclista, aunque ""no había elementos considerados en los manuales internacionales para guiar cómo debería de ser"".
""Se tenía la idea de que todo el tema de la bicicleta era hacer ciclovías y nada más, todas las metas que proponían los gobiernos en ese entonces era esa, y bajo esas primeras experiencias de diseño es que el ITDP dió asistencia técnica a la Ciudad de México, Guadalajara y Monterrey, pues veíamos necesario tener un manual que permitiera unificar criterios, tener un modelo de infraestructura y que eso nos permitiera cómo promover de mejor forma esta movilidad"", agregó.
Ahora, con la existencia de un manual y la evolución de la evaluación de las distintas ciudades en esta materia, el ITDP presentó un listado de espacios con prácticas destacables, con el que busca reconocer y visibilizar iniciativas existentes en América Latina y brindar una posible guía para que otras urbes puedan replicar estos ejemplos.
Lee más: Video: Policía de Puebla invade ciclovía elevada con su moto y retira mantas contra violencia vial
En infraestructura ciclista, las mejores prácticas se encontraron en la Ciudad Autónoma de Buenos Aires, Querétaro, Zapopan y la Ciudad de México.
Querétaro destacó por su crecimiento de 29.4 kilómetros de nuevos carriles ciclistas en 2024, los cuales incluyen espacios protegidos, no protegidos y compartidos. Además, se consideró la socialización que realiza cada proyecto, con sesiones en las que hay diálogo con la ciudadanía para identificar problemáticas y posibles soluciones.
Zapopan fue considerada gracias a sus 5 mil 232 estacionamientos para bicicletas en el espacio público, lo que busca atender la necesidad de ofrecer opciones seguras a medida que su red ciclista se ha extendido.
La Ciudad de México resaltó gracias al sistema de bicicletas compartidas Ecobici, que registró 22 millones de viajes realizados, con una duración promedio de 17 minutos cada uno.
Te podría interesar: ¡Saca tu bici! *El mapa ciclista CDMX* te dice todo lo que necesitas para pedalear
En cuanto a educación y promoción, las ciudades con buenas prácticas fueron Cartagena, Querétaro y Santiago de Chile. En el caso de la única urbe mexicana que calificó en este rubro, se consideró el que llevó a cabo 67 sesiones de biciescuelas dirigidas a infancias, además de que realizó rodadas para promover poco a poco la movilidad.
También se consideró como buena práctica el modelo de monitoreo y gobernanza, aspecto en el que se mencionó a la ciudad de Buenos Aires y Guadalajara. La capital de Jalisco y su área metropolitana fueron reconocidas por sus datos completos e interactivos de siniestralidad, que ha permitido utilizar la información para identificar puntos de alto riesgo para ciclistas.
El estudio concluyó que aunque existen avances considerables en el impulso a la bicicleta como medio de transporte, persisten brechas en cuanto a la infraestructura segura, accesible, directa y que conecte con otros sistemas.
A pesar de los retos, ciclistas encuestados mencionaron que han dejado o disminuido el uso del automóvil por este medio de transporte, sobre todo en León (72.8%), Ciudad Juárez (64%), Ciudad de México (61.5%), Ensenada (60%) y Pachuca (57.4%).
Actualmente, la mayoría de viajes en bicicleta se realizan por ocio, por trabajo, por entrenamiento, para regresar al hogar o para visitar a alguien."
9,Crónica Jalisco,09/12/2025,"Diputados piden reasignaciones para contratar médicos, apoyos al campo y ciclovías, en el gasto 2026",trafilatura,trafilatura,3399,1.06,https://www.cronica.com.mx/jalisco/guadalajara/2025/12/09/diputados-piden-reasignaciones-para-contratar-medicos-apoyos-al-campo-y-ciclovias-en-el-gasto-2026/,,"Para 2026, el gobierno de Jalisco pretende ejercer un gasto de 181 mil 548 millones de pesos, equivalente a un incremento de 4.06%, respecto del presupuesto de este año.
El secretario de Hacienda Pública, Luis García Sotelo, explicó cuáles son las prioridades y los proyectos para el año próximo, al participar en una mesa de trabajo con diputados de la Comisión de Hacienda. Dijo que seguridad, educación, salud, carreteras estatales y transporte público absorberán la mayor parte del gasto.
Los legisladores pidieron reasignaciones para participaciones a municipios, apoyos para productores del campo (maíz y lecheros), pensiones para personas con discapacidad y prevención para reducir casos de cáncer de mama.
García Sotelo dijo que existe un margen de alrededor de 600 millones de pesos que pueden reasignarse a los temas solicitados por los legisladores. Añadió que la movilidad y el transporte público son una de las prioridades.
""Habrá subsidio a usuarios del transporte público, nuevas unidades para el transporte público, 11 nuevos trenes para Línea 1 y Línea 2 del tren Ligero, 20 autobuses para Mi Macro Periférico, 41 autobuses eléctricos para la Línea 5, 102 autobuses para Mi Transporte Tren Ligero, 19 autobuses eléctricos para Puerto Vallarta. Es lo que tenemos proyectado tener en términos de transporte"", indicó.
La legisladora Tonantzin Cárdenas, lamentó que el programa de Seguridad Vial incluya una reducción, de 218 millones -que tiene este año- a solo seis millones de pesos, siendo que Jalisco es líder nacional en siniestros viales. Además, pidió más ciclovías al ampliarse el programa Mi Bici.
""Estoy hablando de la infraestructura ciclista o vías para movilidad no motorizada y ponía el ejemplo de esta compra que se hizo desde el gobierno del estado de 960 bicicletas eléctricas -que lo veo muy bien y lo voy a aplaudir siempre- pero me cuesta trabajo creer y entender que, si desde 2023 no se ha hecho un kilómetro mas de ciclovías, y le reducimos además a seguridad vial, con que seguridad van a transitar estas 960 bicicletas"", subrayó la legisladora.
El legislador de Hagamos, Tonatiuh Bravo Padilla, señaló que debe reducirse el aparato burocrático, específicamente las coordinaciones del gabinete estatal y pidió que se basifique a personal médico de los hospitales civiles.
""Le hago esta pregunta concreta ¿por qué el Hospital Civil de Guadalajara tiene el mismo presupuesto que el año pasado? y aquí lo que solicitaríamos es que hubiera un incremento a la partida número 1000 de servicios personales, por la cantidad de médicos que requiere su crecimiento y su gasto de operación"", indicó.
El secretario de Hacienda dijo que está de acuerdo en que se aplique un programa anual de austeridad para ahorrar recursos y destinarlos a proyectos específicos, pero defendió las coordinaciones del gabinete estatal.
""Yo creo que sería conveniente que además de aprobar el presupuesto, el propio presupuesto ordene un programa anual de austeridad, que se publique y que sea evaluado y que se le de seguimiento. Yo estoy de acuerdo"", dijo el funcionario, ante el tema que le planteó Bravo Padilla.
Los diputados del PRI, del PAN, de Morena y del PT, Cuquis Camarena, Julio Hurtado, Miguel de la Rosa y Sergio Martín, respectivamente, coincidieron en que se debe asignar mayor presupuesto al campo jalisciense, acorde a que Jalisco es el ""gigante agroalimentario de México""."
10,Crónica Jalisco,05/12/2025,Presenta Imeplan el Plan Maestro MiBici para ampliar cobertura y electrificar la flota,trafilatura,trafilatura,2861,0.92,https://www.cronica.com.mx/jalisco/guadalajara/2025/12/05/presenta-imeplan-el-plan-maestro-mibici-para-ampliar-cobertura-y-electrificar-la-flota/,,"El Instituto de Planeación y Gestión del Desarrollo (Imeplan) presentó el Plan Maestro MiBici, un documento integral que marca la nueva etapa del sistema de bicicletas públicas del Área Metropolitana de Guadalajara (AMG). La propuesta contempla duplicar la cobertura hacia 2030, electrificar la mitad de la flota y extender el servicio a municipios alejados del polígono central, con una visión proyectada hasta 2040.
El plan, elaborado con apoyo del programa Euroclima de la Unión Europea y la Fundación para la Internacionalización de las Administraciones Públicas (FIAP), reúne diagnósticos y estudios sobre demanda, valor de marca, análisis costo-beneficio y modelos financieros para garantizar la sostenibilidad del sistema. Patricia Martínez Barba, directora del Imeplan, destacó que el documento es una hoja de ruta basada en evidencia y aprendizajes acumulados en una década de operación.
Las propuestas principales incluyen alcanzar 215 kilómetros cuadrados de cobertura en 2040 y consolidar la expansión hacia colonias como San Andrés, Del Fresno, La Calma, Minerva, Providencia y Santa Margarita. Karina Hermosillo, representante del Gobierno de Jalisco, subrayó que el plan es un hito para la movilidad metropolitana y una apuesta por la justicia territorial.
En el mismo acto se presentó MiBici+, estrategia piloto que iniciará en Tlajomulco en 2026 con 34 bicicletas eléctricas, algunas equipadas con sillas porta-infantes y espacio para cargas. El programa permitirá rentas semanales y funcionará sin anclaje, mediante GPS y candados inteligentes. René Caro Gómez, coordinador de Gestión del Territorio y Obras Públicas de Tlajomulco, señaló que el proyecto atenderá necesidades de transporte escolar y familiar.
Antonio Martín del Campo, administrador de la Agencia de Infraestructura para la Movilidad (AMIM), aseguró que el objetivo es consolidar uno de los mejores sistemas de micromovilidad de Latinoamérica. El Plan Maestro MiBici, alineado con el Plan Integral de Movilidad Urbana Sustentable (PIMUS), se perfila como insumo clave para que las autoridades destinen recursos y fortalezcan la movilidad no motorizada en el AMG.
Con esta estrategia, Guadalajara busca posicionarse como referente regional en movilidad sustentable, integrando criterios de equidad de género y justicia territorial en la planeación. El Plan Maestro MiBici no solo plantea infraestructura, sino también un cambio cultural hacia el uso cotidiano de la bicicleta como medio de transporte seguro, eficiente y accesible.
Además, el documento abre la puerta a nuevas formas de financiamiento y cooperación internacional, lo que permitirá que el sistema evolucione con estabilidad y visión de largo plazo. La apuesta es que MiBici se convierta en un modelo replicable en otras ciudades mexicanas, consolidando al AMG como pionero en políticas de movilidad sustentable."
11,NTR Guadalajara,04/12/2025,Establecen ruta para MiBici con Plan Maestro,trafilatura,trafilatura,1940,0.41,https://www.ntrguadalajara.com/post.php?id_nota=237830,,"El Instituto de Planeación y Gestión del Desarrollo del Área Metropolitana de Guadalajara (Imeplan) presentó ayer el Plan Maestro MiBici, un instrumento técnico que establece la ruta de crecimiento y modernización del sistema de bicicleta pública hacia 2030 y 2040.
El documento es resultado de dos años de trabajo con financiamiento de la Unión Europea y la cooperación alemana. Entre los productos desarrollados se incluyen el Plan Maestro de Bicicleta Pública con perspectiva de género e inclusión, un estudio de demanda para la ampliación del sistema, un análisis de valor de marca, un estudio costo–beneficio y un modelo financiero que orientará futuras inversiones.
Estos insumos buscan garantizar que la expansión del sistema sea sostenible, eficiente y alineada con las necesidades reales de movilidad de la población.
Según el diagnóstico, la valoración ciudadana del sistema se mantiene alta: tras una encuesta aplicada, 90 por ciento dijo estar de acuerdo con que el gobierno invierta en el sistema de bicicleta pública, aun sin ser usuarias. Además, 90 por ciento se declaró satisfecha con el servicio y 85 por ciento respaldó a MiBici como un elemento positivo para la ciudad.
En cuanto a la expansión proyectada, el documento plantea duplicar la capacidad del sistema hacia 2030 e incorporar nuevas zonas como San Andrés, San Juan Bosco, Del Fresno, Plaza del Sol, La Calma, Providencia, Minerva, Puerta del Bosque y La Consti, entre otras. Para 2040 la propuesta contempla ampliar cobertura hacia áreas cercanas a Periférico y conectar con zonas como Bosque Los Colomos, Santa Cecilia, Rancho Nuevo y Parque Metropolitano.
A la par se anunció el piloto de MiBici+, que iniciará durante el primer cuatrimestre de 2026. Contempla más de 30 bicicletas que contarán con silla para infantes y algunas más diseñadas para carga. La prueba permitirá ajustar el modelo antes de escalarlo al resto de los municipios metropolitanos
jl/I"
13,El Informador,29/11/2025,Recuperan más bicicletas robadas,trafilatura,trafilatura,1686,0.74,https://www.informador.mx/jalisco/movilidad-recuperan-mas-bicicletas-robadas-20251129-0006.html,,"Recuperan más bicicletas robadas
En el último bimestre se localizaron 109 unidades: 65 en octubre y 44 en lo que va de noviembre
Personal de MiBici revisa y prepara para su reincorporación una de las bicicletas recuperadas durante los operativos recientes. EL INFORMADOR/ A. Navarro
La recuperación de bicicletas del sistema MiBici reportadas como robadas o desaparecidas aumentó 73% durante octubre y noviembre, informó la Agencia Metropolitana de Servicios de Infraestructura para la Movilidad. En ese periodo se localizaron 109 unidades: 65 en octubre y 44 en lo que va de noviembre. Todas se encuentran en proceso de reincorporarse al servicio, una vez que concluyan las revisiones mecánicas y los trámites administrativos correspondientes.
La Agencia explicó que este aumento responde a una coordinación más estrecha con el C5, corporaciones policíacas municipales y el operador del sistema, lo que ha permitido actuar con mayor rapidez ante los reportes ciudadanos.
Entre los casos más recientes destaca el del 20 de noviembre, cuando usuarios reportaron en redes sociales una bicicleta abandonada en el canal de avenida Patria; personal del sistema activó el protocolo de recuperación y envió la unidad a taller. Días después, el 25 de noviembre, otra bicicleta intervenida fue localizada en Zapopan con apoyo de la policía municipal.
El administrador general, Antonio Martín del Campo Sáenz, señaló que desde octubre reforzaron el monitoreo para detectar unidades faltantes y agilizar su regreso a operación.
CT
Recibe las últimas noticias en tu e-mail
Todo lo que necesitas saber para comenzar tu día
Registrarse implica aceptar los Términos y Condiciones"
15,Gaceta UDG,25/11/2025,Pedaleando ando: crónica de un trayecto hacia CUValles,trafilatura,trafilatura,5366,2.79,https://www.gaceta.udg.mx/pedaleando-ando-cronica-de-un-trayecto-en-bicicleta-hacia-cuvalles/,,"El recorrido de su casa hacia la universidad para JuanRo se convirtió en un ritual y la bici en una extensión de su cuerpo, un medio para explorar, conectar y vivir
- CORRESPONSAL GACETA UDEG
- Greta Ortiz
- noviembre 25, 2025
El día apenas comenzaba cuando nos encontramos en la banqueta fuera de mi casa. «JuanRo» se acomodaba su casco con calma, mientras su cuerpo, acostumbrado al movimiento constante, se preparaba para una rutina que hace a diario: recorrer en bicicleta 20 km (10 de ida y 10 vuelta) a la escuela. ""Lo importante es mantener un ritmo constante"", me dijo mientras bocanadas de aire denso salían de su boca por el frío. Lo acompañé, pedalada tras pedalada, mientras la ciudad, normalmente ruidosa, se sentía tranquila, como si esperara a que alguien marcara el ritmo para comenzar el día.
Juan Roberto Álvarez, amante del café y las artes marciales, estudia el séptimo de la Ingeniería en Instrumentación y Nanosensores en CUValles. Dueño de un gimnasio en Ameca e instructor de acondicionamiento físico, su viaje diario en bici hacia la universidad no nació únicamente por amor al ejercicio; comenzó en 2022, justo cuando las clases presenciales regresaron después de la pandemia. El encierro le dejó un cansancio acumulado en el cuerpo y en la mente, una necesidad urgente de recuperar libertad. Tomó su bici, ese corcel que había comprado para ayudar a un amigo, y pedaleó hacia el Centro Universitario de los Valles. Desde entonces no ha dejado de hacerlo.
Tenía coche, sí, pero pronto descubrió que gastaba mucha gasolina, que las filas, los semáforos y el tráfico lo retrasaban más que su propio pedaleo. ""Cuando me voy en carro llego más tarde que en bici"", me dice con la certeza de que ha hecho la comparación varias veces.
El inicio del recorrido fue amable, mientras avanzábamos hablaba con naturalidad sobre su rutina, los kilómetros que recorre a diario, la forma en que el movimiento lo conecta con la ciudad y con su propia disciplina. Cada palabra, cada pausa para respirar, parecía meditada y orquestada con el escenario donde nos detuvieramos.
Después de un buen tramo, abandonamos la ciudad y nos adentramos en caminos de cañeras. Cruzamos la carretera para entrar en rutas de tractores entre cañaverales; Ameca es tierra de caña y el paisaje lo recuerda a cada instante. Juan saludaba a los jornaleros que temprano iban a fumigar; todos ya lo conocían, y el saludo era mutuo y cálido. El camino seguía la dirección del río y un canal, y allí el sol se reflejaba con un brillo especial sobre el agua. El aire se sentía diferente, más fresco, más limpio, y el canto de los pájaros componían la banda sonora perfecta. Entre pedaleo y pedaleo, Juan compartía historias de su vida, anécdotas que iban desde sus primeras rutas en bicicleta hasta recuerdos de la infancia. La combinación de conversación y naturaleza hacía que el tiempo pareciera más lento, como si cada instante estuviera diseñado para disfrutarse.
Luego llegó la parte más intensa, el tramo en carretera. El acotamiento nos obligaba a pedalear con concentración, y la adrenalina se sentía en cada respiración. A la altura de El Quelite, unos perros comenzaron a corretearnos, Juan los saludó con una sonrisa, como si fueran conocidos de años, solo aumentó el ritmo para no perder el control. Cuando pasaban los tráiler, el aire impulsado por su velocidad nos llegaba con fuerza, recordándonos que esta disciplina exige atención y reflejos, donde cada segundo cuenta. A pesar del riesgo, Juan se veía como en casa, su confianza sobre la bicicleta era contagiosa, contrastaba con la intensidad del entorno.
Al llegar al centro, los guardias ya lo conocían. Aunque siempre saca su credencial, hay un guiño de familiaridad entre ellos. Estaciona la bicicleta, se quita el casco, se asea y entra al salón para tomar sus clases. Mientras lo observaba irse a su salón, comprendí que este recorrido no es solo ejercicio para él, es parte de su rutina.
El camino de regreso siguió la misma ruta, pero con un ritmo distinto ya que no se sentía la adrenalina ni la prisa de llegar temprano a clases, sino el alivio por llegar a casa y disfrutar del trayecto. El pedaleo se sentía más relajado, los cañaverales, el sol reflejándose en el canal, los queleles volando por encima de nosotros, que Juan no deja de admirar ya que son sus favoritos, eran elementos del paisaje que lo hacían ver vivo.
A lo largo de la mañana, acompañar a JuanRo Álvarez en bicicleta fue mucho más que seguir un recorrido: fue adentrarme en su forma de ver la vida. Cada saludo a los jornaleros, cada tramo por el cañaveral, cada encuentro con los perros y el aire que golpeaba al pasar un tráiler, todo formaba parte de un ritual. Incluso las clases se sintieron más llevaderas, me sentía más activa y con la mente despierta, el cerebro oxigenado. La bicicleta se convierte en una extensión de su cuerpo y de su personalidad, un medio para explorar, conectar y vivir.
Al final, mientras regresabamos a la ciudad, la ruta se volvió familiar. Cada árbol, cada reflejo en el canal, incluso cada pozo que parecía cráter de la luna contaba una historia, una anécdota. Y en medio de este recorrido cotidiano, quedó claro que la pasión de Juan por el movimiento, por la disciplina y por la vida misma se refleja en todo lo que hace, y que quien lo acompañe puede percibir.
MÁS NOTAS
				 Post Views: 1.538"
