,medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
0,Pagina 24 Jalisco,24/12/2022,Reiteran exigencia de reubicar ciclovía,trafilatura,trafilatura,2129,0.86,https://pagina24jalisco.com.mx/2022/12/24/local/reiteran-exigencia-de-reubicar-ciclovia/,,"Vecinos de avenida Guadalupe lamentan actitud omisa de Juan Frangie
Por Rafael Hernández Guízar
Vecinos de colonias que se ubican sobre la avenida Guadalupe, en Zapopan reclamaron de nueva cuenta a las autoridades municipales la persistencia de la ciclovía.
Se dijeron muy decepcionados de Juan José Frangie pues sólo les dio largas para escuchar sus peticiones con la intención de reubicar la ciclovía a la servidumbre de la avenida y así liberar de nuevo un carril de circulación en esta tan congestionada vía.
“Estamos muy molestos con él, nomás nos dio como dicen, atole con el dedo, dijo que se iba a poner a trabajar con nosotros que porque había que valorar la ciclovía y le demostramos que ya desde antes estaba trazado aquí una ciclovía pero por lo que es la servidumbre de la banqueta porque son más de 10 metros, y la gente no la usan, no necesitamos que sea estacionamiento de negocios o de la gente, no, que sirva para eso, para que ahí pongan la ciclovía y que liberen un carril de circulación como estaba, antes de que pusieran esto porque ahora es ya una locura lo que pasa aquí, ya no se puede ni pasar”, dijo Ramiro Delgado, uno de los vecinos entrevistados.
“Esta es la única avenida que cruza el Periférico, y ya de aquí no hay otra hasta Mariano Otero, y eso hace que sean miles de carros los que tienen que pasar por aquí, entonces no sé qué es lo que están pensando, y está demostrado que no sirvió de mucho que haya ciclovía porque aquí lo que se necesita no es que quiten un carril para los carros y los camiones, aquí lo que se necesita es que haya manera de trasladarse rápido, y que usen la servidumbre, porque termina siendo estacionamiento de los negocios, de la gente que tiene casas grandes, entonces pues no es justo, dónde está el beneficio de las mayorías, aquí es todo siempre hacerle caso a las minorías, es una ocurrencia, es un gobierno de ocurrencias como en todos lados”.
Desde el año pasado que se instaló la ciclovía, el tráfico por esta avenida ha sido descomunal, de hecho es imposible transitar en horas pico que se han extendido hasta a tres horas por la mañana y tres por la noche."
2,NTR Guadalajara,17/12/2022,Entregan ciclovía de Chapala-Jocotepec,trafilatura,trafilatura,584,0.36,https://www.ntrguadalajara.com/post.php?id_nota=191512,,"La ciclovía de Chapala Jocotepec de 24.6 kilómetros une a ambos poblados a lo largo de su trayecto por la orilla del Lago de Chapala.
La inversión fue de 214 millones de pesos y tardaron tres años en concluirla.
El gobernador Enrique Alfaro y el alcalde de Chapala, Alejandro de Jesús Aguirre Curiel, la recorrieron para inaugurarla y constatar que todo estuviera bien.
“Hoy finalmente la vamos a recorrer completa, a ver si aguantamos mi presi, a echarle pedalazos”, aseveró.
También se inauguró el Centro para la Cultura y las Artes de la Ribera “Estación Cardinal de la Ribera”.
EH"
3,NTR Guadalajara,08/12/2022,Esperan conectividad para nueva ciclovía de Alcalde,trafilatura,trafilatura,968,0.21,https://www.ntrguadalajara.com/post.php?id_nota=191089,,"Ciclistas piden que la nueva ciclovía que el Municipio tapatío construye como parte de los trabajos de ampliación de Paseo Alcalde se conecte de manera segura con el resto de las vías ciclistas.
La infraestructura, que corre por la banqueta, aún no está terminada, pero desde ya usuarios de la bicicleta solicitaron que se conecte de manera segura con el resto de las ciclovías de Paseo Alcalde, que van de la calle Libertad hasta la glorieta La Normal.
En pláticas con usuarios del programa MiBici, la mayoría coincidió en que se debe considerar extender las ciclovías a la zona de los Dos Templos, pues actualmente no tiene.
De acuerdo con el último reporte emitido por el gobierno de Guadalajara, la ampliación del paseo tiene un avance de entre 80 y 85 por ciento.
Los ciclistas consultados también pidieron que antes de que se concluyan los trabajos del paseo se instalen separadores en la ciclovía para que sea respetada por peatones y se eviten accidentes.
jl/I"
6,El Occidental,06/12/2022,Proyectan más tramos de ciclovía en Guadalajara,trafilatura,trafilatura,1444,0.81,https://oem.com.mx/eloccidental/local/proyectan-10-tramos-ciclistas-mas-en-distintas-vialidades-de-guadalajara-15900360,,"Localmartes, 6 de diciembre de 2022
Ocho de cada 10 ciclistas usan la bicicleta como medio de transporte para ir al trabajo
LOCAL
Tanto vecinos, como personas de colonias aledañas que utilizan la vialidad, afirman que urge atención por parte de autoridades
El organismo revisará el tramo entre San Gaspar y Periférico para detectar otros puntos vulnerables; en 2025 se localizaron dos afectaciones en la misma vialidad
Laura Imelda Pérez hablo de las inversiones en infraestructura en diversas colonias y los programas sociales, pero evitó hablar de las vialidades del municipio con destrozos en el pavimento
Las autoridades recomendaron evitar los puntos afectados y atender las indicaciones del personal de emergencia
Las tormentas se desarrollarían en los alrededores del Área Metropolitana de Guadalajara, principalmente hacia el sur y el este.
El legislador morenista detalló que los recursos están destinados además a carreteras, mantenimiento, infraestructura y dar certeza jurídica a inversionistas
Con esta acción que realizaron decenas de familias de empresas tequileras y personal del Gobierno del Estado se plantaron 400 pinos
Mirza Flores acusa a Morena de “grillar” y lucrar políticamente con el tema del agua
Destacó que en ese municipio su administración invirtió más de 150 millones de pesos en el periodo 2025-2026 en obras de alto impacto para sus habitantes
El delito por el que fue denunciado Eduardo N, es por acoso sexual"
8,Trafico ZMG,06/12/2022,Instalan ciclovía sin protección ni conectividad,trafilatura,trafilatura,1586,1.01,https://traficozmg.com/2022/12/instalan-ciclovia-sin-proteccion-ni-conectividad/,,"Instalan ciclovía sin protección ni conectividad
Con la renovación de la calle Hospital en el tramo que va de Alcalde y hasta la calle Belén, en la Zona Centro de Guadalajara, las autoridades inventaron una nueva ciclovía, misma que apenas si abarca tres cuadras y no conecta con ninguna otra vía ciclista para ayudar a quienes viajan con movilidad no motorizada.
Sin la menor protección ni señalética adecuada para garantizar la seguridad de los ciclistas, así permanece esta ciclovía, misma que se creó hace algunos meses cuando la calle Hospital fue objeto de una profunda renovación.
Si bien la vía es utilizada por cientos de ciclistas todos los días, ésta no ofrece las opciones de tránsito seguro como la división del carril que pueda separar el arroyo vehicular de los ciclistas, como sí ocurre en muchas otras que se han instalado en la Zona Metropolitana de Guadalajara (ZMG).
No conforme con ello, esta ciclovía se inventó por únicamente un tramo de tres cuadras, en donde por cierto además de casi mezclar vehículos con bicicletas, se sigue tolerando el estacionamiento de automovilistas, lo que deja un espacio de apenas centímetros para que los ciclistas pueden circular por ella.
Esta ciclovía inicia antes de la avenida Alcalde y concluye en la calle Belén, justo en las inmediaciones del Hospital Civil Viejo. No conduce a ningún lado y ciclistas que la usan todos los días, piden a las autoridades las medidas mínimas de seguridad para poder circular sin temor, y que la ciclovía cumpla con su función de ser una vía libre y adecuada para la movilidad en bicicleta.
AM"
9,NTR Guadalajara,04/12/2022,"Tráileres y transporte público, mortales para ciclistas; van 12 muertos",trafilatura,trafilatura,1348,0.26,https://www.ntrguadalajara.com/post.php?id_nota=190880,,"Los tráileres y las unidades del transporte públicos son mortales para los ciclistas, en lo que va del año han provocado la muerte de 12 personas que viajaban en bicicleta en la Zona Metropolitana de Guadalajara, de acuerdo con los datos de Bicicleta Blanca.
De los 16 ciclistas que hasta la fechan han muerto en la Zona Metropolitana de Guadalajara a causa de accidentes viales, seis de ellos murieron en accidentes donde estuvieron involucrados tráileres, seis más en accidentes con el transporte público, dos por choques con autos particulares, uno por impactarse contra un motociclista y otro más al caer por la mala infraestructura.
Lee: Faltan acciones para reducir muertes de ciclistas en las calles: Bici Blanca
En entrevista para Informativo NTR, Yeriel Salcedo Torres, integrante de Bicicleta Blanca y GDL en Bici mencionó que la construcción de ciclovías no es la única solución para mejorar la movilidad en la ciudad y evitar que más ciclistas mueran en accidentes viales.
Señaló que en el caso particular de los conductores del transporte público, a pesar de que son capacitados, siguen con las mismas prácticas.
Lee: Atropellan a ciclista en Periférico y Tabachines
Con 16 fallecimientos, 2022 se posiciona con el año con más ciclistas muertos en accidentes viales desde 2020; en 2020, fallecieron 13 ciclistas y en 2021 fueron 15.
EH"
10,EL Informador,03/12/2022,Alistan 10 tramos nuevos de ciclovías,trafilatura,trafilatura,7180,0.67,https://www.informador.mx/jalisco/Ciclovias-Guadalajara-alista-10-tramos-nuevos-20221203-0031.html,,"Alistan 10 tramos nuevos de ciclovÃas
En la presente administración, el Ayuntamiento tapatío sumará 32 kilómetros para incrementar la movilidad no motorizadaÂ
Mientras los Ayuntamientos amplÃan la red de ciclovÃas en la ciudad, el programa MiBici cumple ocho aÃ±os con mÃ¡s de 131 mil usuarios. EL INFORMADOR/A. Navarro
El Ayuntamiento de Guadalajara proyecta otros 10 tramos ciclistas en distintas vialidades del municipio, los cuales aÃ±adirÃ¡n mÃ¡s de 32 kilÃ³metros a la infraestructura existente.
La DirecciÃ³n de Movilidad y Transporte compartiÃ³ por Transparencia que se plantean ciclovÃas en RevoluciÃ³n, Javier Mina-JuÃ¡rez, Chapultepec, 8 de Julio, Aurelio Aceves, Ãvila Camacho, Constancia y RamÃ³n LÃ³pez Velarde. AdemÃ¡s, las extensiones en Paseo Alcalde (en 16 de Septiembre) y Federalismo.
âEn el municipio existen 111.6 kilÃ³metros de ciclovÃasâ, precisÃ³ la dependencia referida.
De acuerdo con la Encuesta de HÃ¡bitos y PercepciÃ³n Ciclista 2021, presentada en el marco del DÃa Mundial sin AutomÃ³vil por autoridades estatales y organizaciones civiles, ocho de cada 10 ciclistas usan la bicicleta como medio de transporte para ir al trabajo.
El resto la utiliza para cuestiones como hacer compras, actividades de recreaciÃ³n y trasladarse a la escuela.
Para dimensionar las edades de los que mÃ¡s utilizan este medio de transporte, la mayorÃa de los ciclistas de la ciudad tienen entre 20 y 29 aÃ±os, seguido por el bloque de 30 a 39.
Por su parte, la DirecciÃ³n de Movilidad y Transporte del Ayuntamiento de Zapopan detallÃ³ que actualmente cuenta con 10 kilÃ³metros de rutas ciclistas en construcciÃ³n en el Circuito JVC y Las Torres. Para el siguiente aÃ±o âno hay (nuevos) proyectosâ.
El aÃ±o pasado, la Agencia Metropolitana de Servicios de Infraestructura para la Movilidad analizÃ³ que en un dÃa tÃpico entre semana se realizan 28 mil viajes en bicicleta en las principales ciclovÃas de la ciudad.
Las vÃas mÃ¡s utilizadas por los ciclistas son las de Paseo Alcalde y LÃ³pez Cotilla, en Guadalajara. Y en tercer lugar estÃ¡ la vÃa de Santa Margarita, en Zapopan.
De acuerdo con el reciente estudio âMoverse en GDL 2022â, el 2.4% de los habitantes de Guadalajara usan la bicicleta como medio de transporte.
Guadalajara lidera en la creaciÃ³n de ciclovÃas
Guadalajara es el municipio con mÃ¡s ciclovÃas en Jalisco y se sumarÃ¡n mÃ¡s, precisÃ³ la DirecciÃ³n de Movilidad y Transporte. A excepciÃ³n de Guadalajara, el resto de los municipios metropolitanos no informaron que tengan proyectos para realizar nuevas ciclovÃas para el siguiente aÃ±o.
A travÃ©s de Transparencia, Zapopan dio a conocer que hay 90 kilÃ³metros de rutas para ciclistas en el municipio. Sin embargo, no informÃ³ de nuevos proyectos para el siguiente aÃ±o. Solamente se precisÃ³ que en este aÃ±o se realiza la construcciÃ³n de la segunda etapa de la ciclovÃa en el Circuito JVC y avenida del BajÃo, en las inmediaciones del estadio Akron, la cual incluye seÃ±alÃ©tica horizontal y vertical, dispositivos segregadores y obra complementaria, con un monto contratado por 8.1 millones de pesos.
TambiÃ©n se destaca la edificaciÃ³n de la tercera y cuarta etapas de la ciclovÃa en avenida Las Torres, que incluye crucero seguro y adecuaciones en banquetas sobre avenida Guadalupe, asÃ como seÃ±alÃ©tica horizontal y vertical, dispositivos segregadores y obra complementaria, por un monto de 26.3 millones de pesos.
La DirecciÃ³n General de Obras PÃºblicas del Ayuntamiento de TonalÃ¡ contestÃ³ que âno ha ejecutado ninguna obra de ciclovÃa, ni tiene considerados proyectos este aÃ±oâ. Sobre cuÃ¡ntos kilÃ³metros de rutas para ciclistas hay en el municipio, no compartiÃ³ el dato.
La CoordinaciÃ³n General de GestiÃ³n Integral de la Ciudad de Tlaquepaque dio a conocer que en el municipio hay 12.41 kilÃ³metros de ciclovÃas. La mÃ¡s grande es de 5.10 kilÃ³metros y se ubica en el primer cuadro de la ciudad. La segunda mÃ¡s grande en longitud estÃ¡ en la avenida JesÃºs Michel GonzÃ¡lez, y la tercera en Camino al ITESO, entre avenida LÃ³pez Mateos y PerifÃ©rico Sur. Sin embargo, en la actual administraciÃ³n no han impulsado nuevas rutas.
Por su parte, el Gabinete Integral de Infraestructura y Servicios PÃºblicos de Tlajomulco respondiÃ³ que la informaciÃ³n no se tenÃa desglosada, y por lo mismo no informÃ³ de la situaciÃ³n de infraestructura en el municipio.
Y la DirecciÃ³n General de Obras PÃºblicas y Desarrollo Urbano del Ayuntamiento de El Salto remarcÃ³ que âno se cuenta con ciclovÃas y actualmente no se contemplan proyectosâ.
CLAVES
Viajes ciclistas
Horas. La Agencia Metropolitana de Servicios de Infraestructura para la Movilidad remarcÃ³ que, segÃºn un anÃ¡lisis, en la ciudad se observan dos momentos importantes de incremento en el flujo de ciclistas: el primero entre las 7:00 y las 9:45 de la maÃ±ana, y el segundo entre las 16:15 y las 19:30 horas.
Tipo. Seis de cada 10 viajes ciclistas en la ciudad se realizan en Guadalajara, el municipio con mÃ¡s infraestructura de este tipo. El aforo se realizÃ³ durante 16 horas en 41 ciclovÃas del Ãrea Metropolitana de Guadalajara. En 2021 se reportaron 187 kilÃ³metros de infraestructura ciclista y 116 kilÃ³metros de carriles prioridad. La selecciÃ³n se realizÃ³ en las rutas con mayor flujo de ciclistas.
Mejora. Se observÃ³ un grupo de nuevos usuarios de bicicleta que representan el 17% y que tienen usando este medio de transporte menos de un aÃ±o, âla cifra demuestra que la bicicleta se convirtiÃ³ en una opciÃ³n para la movilidad durante y despuÃ©s de la pandemia al ser un transporte individual y de bajo costoâ.
Certeza. El 78% de los encuestados dijo que se sentÃan seguros de moverse por la infraestructura ciclista de la ciudad; la mayorÃa destacÃ³ entre sus beneficios los rÃ¡pidos desplazamientos y el ahorro en el gasto para transporte y el 99% planea seguir usando la bicicleta como su medio de transporte en el futuro.
AnÃ¡lisis de BusBici estarÃ¡ listo en seis meses
Se pidiÃ³ por Transparencia el dato de cuÃ¡l es el flujo de ciclistas que utilizan el BusBici en avenida Hidalgo en sus primeros meses de operaciÃ³n, asÃ como la frecuencia de paso de los camiones y cuÃ¡ntas multas han impuesto a quienes invaden el carril. Al respecto, la DirecciÃ³n de Movilidad y Transporte de Guadalajara informÃ³ que âun proyecto de esta magnitud tiene un periodo de adaptaciÃ³n de tres a seis meses, en el cual el flujo vehicular y ciclista de la vÃa tendrÃ¡ variaciones hasta regularizarseâ.
AcentuÃ³ que para calcular el aforo âdeben considerarse distintos puntos, como el periodo de referencia en el que se realice que no debe de ser afectado por alguna anomalÃa... tambiÃ©n es necesario considerar las caracterÃsticas del entorno que pueden alterar los datosâ.
Por ese motivo, afirma que âuna vez pasando el periodo de adaptaciÃ³n del sistema, se realizarÃ¡ el monitoreo correspondiente para la obtenciÃ³n de datos actualizados, y que estos sean tomados en cuenta para la calibraciÃ³n del sistema, a fin de gestionar la mejora y optimizaciÃ³n de la vÃaâ.
Lee TambiÃ©n
Recibe las Ãºltimas noticias en tu e-mail
Todo lo que necesitas saber para comenzar tu dÃa
Registrarse implica aceptar los TÃ©rminos y Condiciones"
11,NTR Guadalajara,03/12/2022,Faltan acciones para reducir muertes de ciclistas en las calles: Bici Blanca,trafilatura,trafilatura,1724,0.2,https://www.ntrguadalajara.com/post.php?id_nota=190877,,"Aunque reconoció que de 2009 a 2018, las muertes de ciclistas en las calles disminuyeron 50 por ciento, la reducción de fallecimientos se ha estancado en los últimos cuatro años, por lo que hacen falta más políticas en material vial, consideró Yeriel Salcedo Torres, integrante de Bicicleta Blanca y GDL en Bici.
Mencionó que este año van 16 ciclistas muertos en las calles por accidentes viales, cifra que supera a las estadísticas del año anterior. Explicó que del total de los accidentes, la mayoría fueron provocados por camiones de carga o del transporte público.
“En los últimos cuatro años se ha mantenido, ya no ha bajado más, más bien como este año subió entonces creo que sí hay que empezar a hacer, hay cosas que se han solucionado o se han abordado necesitamos hacer ya otras cosas dar otro paso más diferente o hacer una acción diferente en cuestión de leyes reglamentos, el tema de las velocidades”.
Añadió que los límites máximos no se respetan porque la mayoría de los accidentes se registran en vialidades de alta velocidad, insistió que las políticas de movilidad para ciclistas deben complementarse porque la infraestructura no es la única solución.
Este viernes 2 de diciembre murió atropellado un ciclista en Periférico y avenida Tabachines, en Zapopan, y hace unas semanas otro ciclista más pereció en Periférico y López Mateos, por lo que indicó que es en estas vialidades donde los ciclistas están más expuestos.
Contabilizó que este año han muerto 16 ciclistas, seis de ellos por choques con camiones de carga pesada, seis por choques con el transporte público, uno por colisionar contra un motociclista, otro al caer por mala infraestructura y dos más por percances con automóviles particulares.
EH"
12,Lider 919,03/12/2022,"Con casi 22 millones de viajes, Mi Bici cumple 8 años",trafilatura,trafilatura,2572,0.44,https://lider919.com/con-casi-22-millones-de-viajes-mi-bici-cumple-8-anos/,,"Fue un 1ro de diciembre de 2014 cuando el programa de Bici Pública comenzó a operar en la zona metropolitana de Guadalajara, un año después, en 2015 se realizaron 470 mil viajes, ahora, ocho años después, con el nombre de Mi Bici, ya registra 21.9 millones de viajes con 131 mil usuarios, 300 estaciones y tres mil 200 bicicletas en los municipios de Guadalajara, Zapopan y Tlaquepaque.
Mi Bici tuvo un incremento de viajes del 37 por ciento comparado con el año anterior en los meses de enero a octubre; en el 2021 se registraron dos millones 399 mil 504 millones de viajes y la cifra para este año suma los tres millones 292 mil 425 millones. Todos los días se realizan en promedio 12 mil viajes lo que significa que cada bicicleta realiza 3.7 viajes en promedio entre cada estación.
Este sistema mueve diariamente a la ciudad con un costo diario es de 1.2 pesos y los usuarios pueden hacer viajes ilimitados sin generar contaminantes y con beneficios para la salud física y mental.
La dependencia agregó que este año se implementaron 20 botones de emergencia para conectar con los servicios del 911 y la instalación de 20 lámparas solares con detector de movimiento en estaciones; el proyecto se realizó en colaboración con la Agencia de la ONU para los Refugiados a raíz de un diagnóstico de las 300 estaciones del Sistema.
Actualmente la red de infraestructura ciclista en el área metropolitana de Guadalajara contempla 278.66 km de ciclovías y 116 kilómetros de carriles prioridad, posicionando a la metrópoli como la segunda ciudad con más infraestructura ciclista del país con 394.66 kilómetros de infraestructura ciclista.
De acuerdo a la Encuesta de Percepción de Usuarios Mi Bici 2021, las usuarias de representan el 30 por ciento y de acuerdo a este estudio las mujeres se sienten menos expuestas al acoso callejero al usar la bicicleta.
Numeralia Mi Bici
– Fecha de inicio = 1ro de diciembre de 2014;
– Tiempo de operación = 8 años (1 diciembre 2022);
– Usuarios registrados desde el inicio = 131 mil 107 usuarios;
– Estaciones al inicio = 111 estaciones (86 en Guadalajara, 25 en Zapopan)
– Estaciones al término de la 4ta etapa = 300 estaciones;
– Bicicletas al inicio = mil 276 bicicletas;
– Bicicletas actuales = tres mil 200 bicicletas;
– Viajes en 2015 = 470 mil 263 viajes;
– Viajes desde el inicio a la fecha = 21.9 millones viajes;
– Usuarios registrados = 131 mil
– Duración promedio de viaje = 12 minutos;
– Participación de usuarios = Hombres 68 por ciento, Mujeres 30 por ciento, No binario uno por ciento, Transgénero 0.1 por ciento
HAREMY REYES"
13,Quiero tv,02/12/2022,Se cumplen ocho años de Mi Bici,trafilatura,trafilatura,345,1.43,https://quierotv.mx/2022/12/02/se-cumplen-ocho-anos-de-mi-bici,,"photo_2022-12-02_14-46-37
Compartir:
El mandatario indicó que este programa cuenta actualmente con 21.8 millones de viajes en el Área Metropolitana de Guadalajara.
Finalmente felicitó a todos los trabajadores que han colaborado en este formato que surgió para cambiar a hábitos más sustentables, así como una mejora en la movilidad de la ciudad."
