,medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
28,EL Informador,05/11/2022,Usuarios critican aumento al costo de MiBici,trafilatura,trafilatura,4000,0.53,https://www.informador.mx/jalisco/MiBici-Usuarios-critican-aumento-al-costo-del-servicio-de-transporte-20221105-0084.html,,"Usuarios critican aumento al costo de MiBici
Entrevistados denunciaron como injusto el incremento de los costos ante un servicio público que presenta deficiencias
La renovaciÃ³n de la suscripciÃ³n anual de MiBici aumentarÃ¡ 14 pesos, pasando de 443 a 457 pesos. EL INFORMADOR/C. Zepeda
Tras el ajuste de costos para el servicio de transporte de MiBici previsto por el gobierno de Jalisco en la propuesta de Ley de Ingresos para el prÃ³ximo aÃ±o, con un aumento al precio en la suscripciÃ³n anual, usuarios del servicio denunciaron como injusto el incremento de los costos ante un servicio pÃºblico que presenta deficiencias.
 
 âNo estoy de acuerdo con el aumento, la infraestructura de las ciclovÃas no es buena, no han cambiado las bicicletas""
Acorde a lo previsto en la Ley de Ingresos para Jalisco en 2023, la renovaciÃ³n de la suscripciÃ³n anual de MiBici aumentarÃ¡ 14 pesos, pasando de 443 a 457 pesos.
En este sentido, Susana RamÃrez, usuaria del servicio desde el 2018, argumentÃ³ que el aumento en los costos es incongruente con el programa, debido a fallas en la habilitaciÃ³n de la aplicaciÃ³n, el estado de las bicicletas y la centralizaciÃ³n de la infraestructura ciclista en el Ãrea Metropolitana de Guadalajara (AMG).
âNo estoy de acuerdo con el aumento, la infraestructura de las ciclovÃas no es buena, no han cambiado las bicicletas, hay bicicletas que estÃ¡n muy desgastadas, la aplicaciÃ³n no funciona bien, el cÃ³digo para sacar la bici no funciona y cada aÃ±o le suben y no veo mÃ¡s bicipuertos en otras zonas que no sean centro de Guadalajara y el centro de Zapopan, si va a estar todo centralizado no veo la utilidad a las bicisâ, manifestÃ³.
Bajo esta misma postura coincidiÃ³ Hugo HernÃ¡ndez, ciclista desde hace mÃ¡s de cinco aÃ±os, quiÃ©n comentÃ³ que a la par de los incrementos anuales en los costos del servicio, la realidad es que no se ha mejorado ni la infraestructura en ciclovÃas, ni las bicicletas, ni los puertos para poder hacer uso de ellas.
âNo he visto de que a la par que se ha ido aumentado aÃ±o con aÃ±o desde que llegÃ³ Alfaro, no hay incremento en la distribuciÃ³n de los ciclopuertos, la mayorÃa de las bicis estÃ¡n en malas condiciones, las ciclovÃas apenas se estÃ¡n extendiendo mÃ¡s allÃ¡ de lo que son los tÃpicos lugares de siempre, la verdad no es conveniente porque a la par no se incrementa la posibilidad geogrÃ¡fica de que mÃ¡s personas puedan entrarâ, afirmÃ³.
El joven comunicÃ³logo resaltÃ³ que otro problema que aqueja a los usuarios de MiBici es la accesibilidad para poder contratar el servicio, pues asegurÃ³ que el tener que contratar el servicio con el uso de una tarjeta de crÃ©dito dificulta la accesibilidad al mismo.
En este mismo sentido, Lorena Flores, ciclista desde hace tres aÃ±os, considerÃ³ que el mÃ©todo de pago y costo cada vez es mÃ¡s elevado para el servicio que se presta, pues apuntÃ³ que en diversas ocasiones no ha podido acceder al servicio debido a la falta de bicicletas o dificultades de acceso para los puertos.
âPienso que sÃ es servicio bueno, porque a mÃ en lo personal me ha ayudado, pero la verdad es que el servicio ha bajado de calidad en los Ãºltimos meses, tenemos menos oportunidades para dejar las bicis, y algunas ya estÃ¡n muy viejas y pesadas que la verdad estÃ¡n absolutasâ, acotÃ³.
A pesar de los nuevos costos y las deficiencias del servicios, hay quienes aseguran que el incremento se ha visto reflejado en mejoras en infraestructura y ampliaciÃ³n en las estaciones asÃ como la cobertura de la red.
VÃctor Barreto, usuario de MiBici desde 2017, seÃ±alÃ³ que el aumento en el costo no parece impactar su bolsillo debido a que continÃºa siendo mÃ¡s barato que hacer uso de unidades del transporte pÃºblico dÃa a dÃa, ademÃ¡s comentÃ³ quÃ© hay ciclovÃas como en Federalismo y Gigantes que se han abierto para mejorar la movilidad.
JM
Lee TambiÃ©n
Recibe las Ãºltimas noticias en tu e-mail
Todo lo que necesitas saber para comenzar tu dÃa
Registrarse implica aceptar los TÃ©rminos y Condiciones"
29,EL Informador,04/11/2022,Ciclovías impactan en aumento de usuarios; piden más seguridad y conexión,trafilatura,trafilatura,2690,0.53,https://www.informador.mx/jalisco/Ciclovias-en-ZMG-impactan-en-aumento-de-usuarios-piden-cultura-vial-seguridad-y-conexion-20221104-0108.html,,"CiclovÃas impactan en aumento de usuarios; piden mÃ¡s seguridad y conexiÃ³n
De acuerdo con el reciente estudio del Observatorio Ciudadano Jalisco Cómo Vamos, el 2.4% de los habitantes de Guadalajara utilizaron la bicicleta como medio de transporte en 2020
Aunque creen que hay cosas por mejorar, ciclistas dicen que hay ciclovÃas mucho mÃ¡s completas que antes. EL INFORMADOR / ARCHIVO
MÃ¡s cultura vial, seguridad y espacios para dejar las bicicletas, asÃ como mejorar las conexiones, sobre todo al Sur y al Oriente de la ciudad, son algunas de las peticiones de los ciclistas de la Zona Metropolitana de Guadalajara (ZMG).
De acuerdo con el reciente estudio ""Moverse en GDL 2022"", del Observatorio Ciudadano Jalisco CÃ³mo Vamos, el 2.4% de los habitantes de Guadalajara utilizaron la bicicleta como medio de transporte en 2020.
Para comparar, en la primera ediciÃ³n del anÃ¡lisis que toma como referencia el aÃ±o 2018, la cifra era del 2% de los habitantes. En ese mismo periodo de comparaciÃ³n, la red de kilÃ³metros de ciclovÃas en las Ã¡reas urbanas y metropolitanas en la Entidad creciÃ³ de 162.58 a 253.91 kilÃ³metros. El aÃ±o pasado subiÃ³ a 288.23 kilÃ³metros.
David Ramos se mueve en bicicleta desde hace seis aÃ±os, y destaca que este 2022 se ha animado a trasladarse a lugares mÃ¡s lejanos por las ciclovÃas que han hecho en la ciudad, como la de la calle Gigantes, en Guadalajara. ""La red de ciclovÃas estÃ¡ mucho mÃ¡s completa que antes. Puedes moverte a muchos sitios de la ciudad de forma segura"", explica.
""En la ciclovÃa de Gigantes hay muchas obstrucciones e invasiÃ³n de motociclistas en el carril exclusivo de bicicletas""
JazmÃn Ruvalcaba, otra usuaria, coincide en la falta de cultura vial. ""Fortalecer las multas porque falta cultura vial por parte de las y los automovilistas, se molestan cuando uno les dice que es ciclovÃa, como si fuera un espacio donde se pueden estacionar para no estorbar a otros vehÃculos, pero nosotros tambiÃ©n somos vehÃculos y somos parte de la movilidad"".
Alexis GonzÃ¡lez agrega que lo que mÃ¡s falta es que todo el transporte pÃºblico, incluidos los camiones, tengan espacios para llevar las bicicletas (como ocurre en el TrolebÃºs). ""Ya que eso ayudarÃa a poder hacer recorridos mÃ¡s largos. Mucha gente acostumbra tomar un camiÃ³n para llegar al Tren, o tomar un transporte y luego caminar varias calles.
Esas dos situaciones dan pereza y el usuario termina optando por usar un transporte particular (generando mÃ¡s trÃ¡fico). Que no pueda hacer eso sÃ³lo en el SiTren"".
GC
Lee TambiÃ©n
Recibe las Ãºltimas noticias en tu e-mail
Todo lo que necesitas saber para comenzar tu dÃa
Registrarse implica aceptar los TÃ©rminos y Condiciones"
30,EL Informador,04/11/2022,Ciclistas piden mejorar mantenimiento y ampliar MiBici,trafilatura,trafilatura,2903,0.52,https://www.informador.mx/jalisco/MiBici-Ciclistas-piden-solicitar-mejorar-mantenimiento-y-ampliar-el-programa-20221104-0110.html,,"Ciclistas piden mejorar mantenimiento y ampliar MiBici
Usuarios evalúan si renovar o no su suscripción para el siguiente año debido a las fallas en las bicicletas y bicipuertos
Usuarios consideran que deben renovarse las bicicletas, pues muchas ya estÃ¡n obsoletas. EL INFORMADOR/ARCHIVO
David Ramos, que es usuario del programa de MiBici desde hace cuatro aÃ±os, ha notado que este 2022 hay un deterioro del servicio que se brinda. âHay una falta de renovaciÃ³n de las bicicletas. Ya hay muchas nuevas, las verdes. Pero las rojas ya estÃ¡n muy viejitas. Y la mayorÃa de veces o estÃ¡n ponchadas o los cambios de velocidades no funcionan. O estÃ¡ demasiado pesadas al pedalearâ.
AdemÃ¡s, pide que haya mÃ¡s estaciones a otras Ã¡reas de la ciudad.
 
 âHay una falta de renovaciÃ³n de las bicicletas. Ya hay muchas nuevas, las verdes. Pero las rojas ya estÃ¡n muy viejitas""
âEl sistema ya estÃ¡ consolidado y muchÃsima gente lo utiliza y hace recorridos mÃ¡s largos o fuera de las zonas donde hay estaciones. Urge que haya estaciones de conexiÃ³n a zonas mÃ¡s alejadas a los centros o primeros cuadros del AMGâ.
JazmÃn Ruvalcaba platica que utiliza el programa desde hace aÃ±o y medio porque escuchaba muy buenos comentarios. âComo hay bicipuertos por mi casa y mi trabajo pensÃ© que serÃa muy buena idea. Las ventajas que veo es que la mayorÃa de las veces hay bicicletas disponibles y al haber ciclopuertos, puedes dejar la tuya sin preocupaciÃ³n de que te vayan a robar la tuya. Ese era el beneficio que le veÃa: que podÃa encontrar biciletas en cualquier lugar, ademÃ¡s de que con la aplicaciÃ³n puedes ver dÃ³nde hay bicicletasâ.
Pero afirma que la situaciÃ³n ha cambiado recientemente y el servicio ha estado fallando, por lo que evalÃºa si el siguiente aÃ±o renovar su suscripciÃ³n.
âEn las zonas donde me muevo no se estÃ¡n haciendo los balanceos de forma correcta, de hecho pese a quejas en redes sociales desde hace varios meses no se ha podido solucionar el problemaâ.
Sostiene que ha tenido que pagar Uber porque no encuentra bicipuertos para dejar la bicicleta alrededor de la zona donde vive o por su trabajo.
âEstÃ¡ lleno y no puedo dejar la bici, y me tengo que ir mÃ¡s lejos y pagar un Uber para llegar a mi destino, eso ya no es un beneficio, porque a final de cuentas estoy invirtiendo para llegar a mi destino. Ha habido ocasiones en las cuales me voy mÃ¡s lejos de dÃ³nde empecÃ© el viaje o que me he tenido que regresar a dejar la bicicleta. Me quedan seis meses y si la situaciÃ³n no mejora sÃ voy a cancelar el servicioâ.
Recomienda que se contrate a mÃ¡s personal y mejores acciones de balanceo porque los reportes al respecto son cada vez mÃ¡s constantes. âNo pueden operar la misma estrategia de cuando comenzaronâ.
JM
Lee TambiÃ©n
Recibe las Ãºltimas noticias en tu e-mail
Todo lo que necesitas saber para comenzar tu dÃa
Registrarse implica aceptar los TÃ©rminos y Condiciones"
31,Trafico ZMG,04/11/2022,Trabajos en ciclovía de Federalismo representan riesgo para conductores,trafilatura,trafilatura,1965,0.91,https://traficozmg.com/2022/11/trabajos-de-ciclovia-en-federalismo-riesgo-para-conductores/,,"Trabajos en ciclovía de Federalismo representan riesgo para conductores
Las obras que se realizan desde hace varias semanas en Calzada Federalismo, en el tramo que va el Plan de San Luis y hasta la avenida Circunvalación, han sido motivo de diferentes confusiones, pero también de accidentes en la zona.
Sin la menor señalética, con prominentes banquetas que invaden uno de los carriles que estaba disponible para la incorporación avenida Circunvalación y sin las mínimas medidas de seguridad, así transcurren los trabajos que avanzan para conectar una ciclovía que ya existía, pero que ahora la autoridad decidió bajar de la banqueta para abarcar parte del carril de la extrema derecha.
El reclamo específicamente de los conductores, tanto de auto como de moto, son las pronunciadas esquinas con machuelo que de un momento a otro aparecieron en la zona, mismas que ya han causado derrapes de motocicletas y daños en autos por no ser visibles y carecer de señales de advertencia. Aunque todo ha parado en daños materiales y lesiones mínimas, la exigencia de quienes transitan todos los días por Calzada Federalismo, en el sentido Norte, es que la obra se socialice y cuente con al menos lonas o bandereros advirtiendo a los automovilistas.
Sobre las banquetas recién construidas que dividen el flujo vehicular de los ciclistas ya se aprecian marcas y vestigios de múltiples tallones de llantas y algunas autopartes que vehículos y motos han dejado ahí por impactarse con estos machuelos, que especialmente en la noche son imperceptibles y que invaden o eliminan uno de los dos carriles para salir hacia la avenida Circunvalación con rumbo a la avenida Alcalde.
A este problema habrá que añadirle que por al menos 300 metros a lo largo de las banquetas se han dejado gran cantidad de escombros y materiales de construcción, lo mismo que excavaciones que también carecen de señalética de seguridad para los peatones.
AM
Debe estar conectado para enviar un comentario."
32,EL Informador,03/11/2022,"Proponen alza en multas, refrendo y MiBici en 2023",trafilatura,trafilatura,8511,0.6,https://www.informador.mx/Presupuesto-Jalisco-Proponen-alza-en-multas-refrendo-y-MiBici-en-2023-l202211030001.html,,"Proponen alza en multas, refrendo y MiBici en 2023
El Gobierno estatal afirma que no hay impuestos nuevos, pero los existentes aumentarán con base en la inflación actual
Â 
La iniciativa de Ley de Ingresos de Jalisco para el siguiente aÃ±o incluye un aumento de 23 pesos en el cobro del refrendo vehicular.
El planteamiento del Poder Ejecutivo estatal al Congreso local es que los propietarios paguen 734 pesos.
Y los contribuyentes deberÃ¡n cubrir la aportaciÃ³n de 34 pesos para la Cruz Roja y 29 para el Hogar CabaÃ±as.
Con excepciÃ³n de la verificaciÃ³n vehicular (que se quedarÃ¡ igual en 500 pesos), habrÃ¡ incrementos en los trÃ¡mites para las nuevas licencias y renovaciones para automovilistas, choferes y motociclistas.
Por ejemplo, la renovaciÃ³n de la licencia de chofer subirÃ¡ a 817.
El gobernador de Jalisco comentÃ³ ayer: âestamos presentando una propuesta que no aumenta impuestos, que no crea nuevos impuestosâ.
Sin embargo, indicÃ³ que âse hace un ajuste inflacionarioâ. En ese sentido, los impuestos sÃ tendrÃan un incremento. Si se considera la inflaciÃ³n anual actual, serÃa un aumento de 8.53%, en promedio.
Por eso la dotaciÃ³n y canje de placas para vehÃculos particulares subirÃ¡ a dos mil 144 pesos en total.
DespuÃ©s de la reforma a la nueva Ley de Movilidad aprobada por el Poder Legislativo de la Entidad hace un par de semanas, en la Ley de Ingresos 2023 entrarÃan en vigor las alzas en las multas viales.
La SecretarÃa de la Hacienda PÃºblica prevÃ© para el siguiente aÃ±o una recaudaciÃ³n de 783.3 millones de pesos (MDP) por este concepto, un incremento anual de 90.8 MDP.
El secretario de la Hacienda PÃºblica, Juan Partida Morales, argumentÃ³ que se apuesta por buscar que quienes no paguen impuestos lo hagan. âY (que) quienes ya lo hacen no dejen de pagarlosâ.
Sobre la suscripciÃ³n anual del programa de MiBici, subirÃ¡ 14 pesos el siguiente aÃ±o, para ubicarse en 457 pesos.
PrevÃ©n que impuestos suban segÃºn la inflaciÃ³n
- Ayer fue presentada la propuesta de la Ley de Egresos del Estado de Jalisco para el ejercicio fiscal de 2023, en la cual, si bien no se crearÃ¡n nuevos impuestos, los ya existentes podrÃan aumentar segÃºn la inflaciÃ³n.
- Enero de este 2022 cerrÃ³ con una inflaciÃ³n de 7.1%, sin embargo, segÃºn las cifras mÃ¡s recientes, septiembre cerrÃ³ con inflaciÃ³n anual del 8.53%, porcentaje que podrÃa afectar para el aÃ±o prÃ³ximo los impuestos ya existentes.
- La propuesta de la Ley de Ingresos para el aÃ±o prÃ³ximo ya fue presentada ante los diputados de Jalisco y, de ser aprobada, el Estado contarÃa con 158 mil 630 millones de pesos que todas las dependencias de Jalisco podrÃ¡n ejercer durante 2023; lo anterior, seÃ±alÃ³, representa 12% mÃ¡s que lo asignado para este 2022, âconsiderando las partidas asignadas por la FederaciÃ³nâ.
- De acuerdo con el mandatario, se prevÃ© incrementar la recaudaciÃ³n propia en 16 por ciento.
SABER MÃS
Ingresos y gastos por 158 mil 630 millones
Con un cÃ¡lculo de ingresos y gastos por 158 mil 630 millones 431 mil 6 pesos, el Gobierno de Jalisco hizo pÃºblico el contenido del paquete econÃ³mico estatal para 2023.
Las iniciativas fueron presentadas ante el Congreso de Jalisco la noche del martes, pero el secretario de Hacienda, Juan Partida se negÃ³ a dar detalles sobre la propuesta. Fue hasta que el gobernador publicÃ³ un video en sus redes sociales que se informÃ³ el monto y aspectos generales como que el cobro de impuestos y derechos estatales tendrÃan aumentos conforme a la inflaciÃ³n y descartÃ³ creaciÃ³n de nuevos gravÃ¡menes.
El titular del Poder Ejecutivo estatal refiriÃ³ que pretenden incrementar 16% la recaudaciÃ³n propia con mayor eficiencia en el cobro. AÃ±adiÃ³ que los recursos federales aumentarÃan 12 por ciento.
âRepresenta un incremento de 21 mil 511 millones de pesos que van a ser destinados a los proyectos estratÃ©gicos que se han definido en materia de educaciÃ³n, salud, seguridad, de gasto social, infraestructura carretera; las grandes apuestas del Gobiernoâ, dijo.
El Congreso de Jalisco debe sesionar para darle entrada formal al proyecto de presupuesto y Ley de Ingresos. El 15 de diciembre es la fecha lÃmite para que el Poder Legislativo lo apruebe.
COMPARACIÃN
Etiquetan mil 604 millones para LÃnea 4
Los trabajos para la construcciÃ³n de la LÃnea 4 (L4) del Tren ElÃ©ctrico a Tlajomulco tienen etiquetados mil 604 millones de pesos (MDP) en el proyecto de presupuesto estatal de egresos del prÃ³ximo aÃ±o.
De acuerdo con el documento presentado ante el Congreso estatal, se destinarÃan mil 324 MDP para acciones del Modelo Integral de Movilidad de la Zona Sur del Ãrea Metropolitana de Guadalajara, contemplados como parte de los recursos del Sistema del Tren ElÃ©ctrico Urbano (Siteur).
AdemÃ¡s, hay una bolsa de 280 millones para la intervenciÃ³n de carriles laterales en PerifÃ©rico y avenida Aldolf Horn, que serÃan ejercidos por la SecretarÃa de Infraestructura y Obra PÃºblica.
El costo de la nueva lÃnea de tren se fijÃ³ en 9 mil 725 MDP; los Gobiernos estatal y el federal aportarÃ¡n dos mil millones, cada uno, y la empresa Mota-Engil cinco mil 725 millones.
Por otra parte, para la implementaciÃ³n del sistema de control de trenes y seÃ±alizaciÃ³n de la LÃnea 1 incluyeron 290 MDP.
El Programa Anual de InversiÃ³n PÃºblica de 2023 considera erogar 23 mil 32 millones, principalmente para dar continuidad a obras y en la adquisiciÃ³n de equipamiento.
En el rubro de salud, hay considerados 403.4 millones para la construcciÃ³n del Hospital Regional de CancerologÃa en Zapopan, 20 millones para continuar la remodelaciÃ³n de la Unidad de NiÃ±os Quemados y 15 millones en la Unidad Materno Infantil del Hospital Civil viejo; junto con otros 118 millones para edificaciones de servicio mÃ©dico y asistencial en ese nosocomio. Hay una bolsa de 362.6 MDP para continuar las obras del Hospital Civil de Oriente en TonalÃ¡; entre otras acciones.
En materia de seguridad, proyectan inversiÃ³n de 40 millones para la habilitaciÃ³n de puntos de monitoreo inteligente del Centro de CoordinaciÃ³n, Comando, Control, Comunicaciones y CÃ³mputo del Estado (C5). AdemÃ¡s de 34 millones para equipamiento y operaciÃ³n del Centro de IdentificaciÃ³n Humana.
TambiÃ©n consideran 300 millones para la rehabilitaciÃ³n de plantas potabilizadoras para el abastecimiento de agua del Ãrea Metropolitana de Guadalajara (AMG), junto con 10 millones para la perforaciÃ³n, equipamiento e interconexiÃ³n de pozos de abastecimiento y 100 millones para continuar con el programa nidos de lluvia. Para la operaciÃ³n de plantas de tratamiento de aguas residuales hay 152 MDP.
EstÃ¡n contemplados dos mil 514 millones en el Fideicomiso para Infraestructura y Equipamiento Educativo, integrado con lo recaudado con el impuesto sobre la nÃ³mina. Para Aportaciones, Transferencias y Subsidios a Municipios hay etiquetados dos mil 423 MDP del Fondo de infraestructura social municipal.
El plan de inversiÃ³n pÃºblica incluye otras acciones como la rehabilitaciÃ³n de carreteras estatales y obras de remodelaciÃ³n de infraestructura como unidades deportivas.
La UdeG podrÃa tener aumento menor a la inflaciÃ³n
Aunque el gobernador de Jalisco afirmÃ³ que el proyecto de presupuesto 2023 considera 889 millones de pesos adicionales a la aportaciÃ³n que por ley le corresponde a la Universidad de Guadalajara (UdeG), como parte del convenio con el Gobierno Federal, la bolsa propuesta por seis mil 872 millones de subsidio ordinario estatal representa aumento de poco mÃ¡s de 5% en comparaciÃ³n con lo asignado este aÃ±o.
Sobresale que, en el apartado del programa de Infraestructura educativa y cultural, de la unidad presupuestal de la UdeG, sÃ³lo se incluyeron 200 pesos.
En el Programa Anual de InversiÃ³n PÃºblica 2023 hay una bolsa de 235 millones que ejercerÃa la SecretarÃa de Infraestructura y Obra PÃºblica en convenio con la UdeG para infraestructura educativa y cultural.
Ricardo Villanueva planteÃ³ la urgencia de que la Universidad reciba un incremento mayor a la inflaciÃ³n que supera el 8%; ademÃ¡s de que solicitÃ³ la restituciÃ³n de 776 millones para resarcir el dÃ©ficit acumulado en los Ãºltimos tres aÃ±os ante el crecimiento de la matrÃcula. AdelantÃ³ que buscarÃ¡ reunirse con diputados locales para detallarles los requerimientos.
Este aÃ±o la UdeG accediÃ³ a 13 mil 131 millones
La UdeG dispondrÃa de 14 mil 11 MDP que resultan de sumar 6 mil 872 millones de subsidio estatal ordinario, mÃ¡s 152 millones para ajuste salarial y los 6 mil 984 millones del subsidio federal."
33,Vive Vallarta,03/11/2022,Ciclistas piden al profe Michel más espacios en Puerto Vallarta,trafilatura,trafilatura,2529,1.33,https://vivepuertovallarta.mx/2022/11/03/ciclistas-piden-al-profe-michel-mas-espacios-en-puerto-vallarta/,,"Ciclistas piden al profe Michel más espacios en Puerto Vallarta
El alcalde de Puerto Vallarta se reunió con diferentes colectivos de ciclistas de la ciudad, quienes pidieron en una mesa de diálogo más espacios para ellos, mantenimiento de ciclovias, continuida en los tramos, asi como un terreno especial para una pista de ciclismo.
En ese sentido, expresaron el compromiso de trabajar de la mano en el respaldo
que requieren para mejorar las ciclovías existentes y dar continuidad al proyecto
de interconexión, mayor vigilancia para que se respeten estos espacios por parte
de automovilistas y conductores del servicio de transporte público y motociclistas,
así como fortalecer la cultura vial en ese aspecto.
También plantearon la necesidad de contar con un espacio (terreno) para una
pista de ciclismo, en lo que el alcalde vallartense señaló que el municipio no
cuenta con un predio de esas dimensiones, pero se comprometió a gestionar un
área que puedan utilizar para algunas de sus actividades deportivas y recreativas.
De igual forma manifestaron la necesidad de reforzar la vigilancia vial para brindar
mayor protección a los ciclistas que transitan por las diferentes avenidas, así como
la importancia de promover el uso de equipo protector y contar con más
ciclopuertos o espacios para bicicletas en distintos puntos de la ciudad.
El empresario y ciclista, Adán Suárez, propuso impulsar de manera conjunta
actividades como las que él ya viene realizando a través de su grupo, para alejar a
los jóvenes de los vicios, además de cursos y talleres para el mantenimiento
básico de bicicletas.
Otro de los planteamientos fue promover competencias ciclistas entre Puerto
Vallarta y Bahía de Banderas, ya que es una actividad que genera turismo y
derrama económica.
El Profe Michel refrendó el compromiso de atender sus inquietudes, sobre todo en
el caso de las ciclovías y otros temas de interés que plantearon los ciclistas en
esta reunión.
Por su parte, el Club de Ciclistas Amigos de Vallarta que representa Javier
Villaseñor, y que año con año organiza la rodada Reto San Pedro, una
competencia de ciclismo de montaña que en esta ocasión se tiene programada el
11 de diciembre, extendió la invitación al Profe Michel a dar el banderazo de
salida.
También se comprometió en acompañar a los ciclistas que participan en el
BiciPaseo que se realiza cada miércoles, de Marina Vallarta al Malecón, el cual
organiza Eliseo García, ciclista urbano y entrenador deportivo, con el apoyo de la
organización de bicitantes.
Comunicado"
34,Mural,01/11/2022,Solo 2% de tapatíos usan bici como medio de transporte,trafilatura,trafilatura,503,0.94,https://www.mural.com.mx/solo-2-de-tapatios-usan-bici-como-medio-de-transporte/ar2496553,,"COMUNIDAD
03 MIN 00 SEG
Fernanda Carapia
Guadalajara, México (01 noviembre 2022) .-11:41 hrs
Las personas que usan la bicicleta como medio de transporte son pocas, en comparación a aquellas que ven al auto particular como una opción de desplazamiento. Crédito: Archivo
 Aunque la apuesta de los Gobiernos es impulsar la movilidad no motorizada, las personas que usan la bicicleta como medio de transporte son pocas, en comparación a aquellas que ven al auto particular como una opción de desplazamiento."
35,Trafico ZMG,28/10/2022,Por abandono de obras; ciclovía de avenida Las Torres causa múltiples accidentes,trafilatura,trafilatura,1841,0.91,https://traficozmg.com/2022/10/por-abandono-de-obras-ciclovia-de-avenida-las-torre-causa-multiples-accidentes/,,"Por abandono de obras; ciclovía de avenida Las Torres causa múltiples accidentes
El ayuntamiento de Zapopan olvidó por completo las obras para instalar la ciclovía que desde hace varios meses se realizaban sobre avenida Las Torres, en la zona de la colonia Volcán de El Colli.
Un tramo de aproximadamente 300 metros ha quedado completamente en el olvido, con banquetas prominentes en sus esquinas que son la causa de diferentes y repetidos accidentes, principalmente de motociclistas.
En la zona no se aprecia un solo trabajador, y de acuerdo a versiones de vecinos, ha estado así desde hace al menos un mes. Banquetas inconclusas, vestigios de materiales de construcción y montones de tierra y escombro, son la evidencia de que el gobierno zapopano, por alguna razón que aún no ha detallado, paró las obras de lo que se pensaba sería una vía segura para los ciclistas.
El pequeño carril confinado para quienes viajan en bicicleta está lejos de ser un espacio seguro para ellos. Excavaciones y falta de señalética es la causa de que no haya en ese trayecto separación entre arroyo vehicular y quienes viajan a bordo de este vehículo de dos ruedas.
Aunado a ello, son decenas de reportes ciudadanos los que advierten que debido a las obras inconclusas en el transcurso de un mes, han sido al menos 4 motociclistas que han salido proyectados tras encontrarse de pronto con pronunciadas banquetas en las esquinas, de las que no hay señal o advertencia alguna.
Falta de balizamiento, falta de socialización y falta de cumplimiento en la celeridad de los trabajos, son solo algunos de los puntuales señalamientos que automovilistas y colonos de la zona han hecho la autoridad, sin que hasta el momento haya dado respuesta a las denuncias ciudadanas.
Abram Maciel
Te puede interesar: Vandalismo durante noche de Halloween es delito que se sanciona"
36,Trafico ZMG,26/10/2022,Guadalajara cuenta con 258 kilómetros de ciclovías segregadas,trafilatura,trafilatura,2476,0.14,https://traficozmg.com/2022/10/guadalajara-cuenta-con-258-kilometros-de-ciclovias-segregadas/,,"Guadalajara cuenta con 258 kilómetros de ciclovías segregadas
La Asociación Norteamericana de Bicicletas y Scooters Compartidos (NABSA, por sus siglas en inglés), realizó por primera vez la conferencia anual en América Latina, en la ciudad de Guadalajara; debido al importante trabajo y avances en materia de movilidad activa.
En este encuentro participan la Coordinación de Gestión del Territorio, el Instituto de Planeación y Gestión del Desarrollo del Área Metropolitana de Guadalajara (Imeplan), la Agencia Metropolitana de Servicios de Infraestructura para la Movilidad del AMG (AMIM), y el Sistema de Bicicletas Públicas, MiBici.
El Coordinador de Gestión del Territorio, René Caro Gómez, en representación del Gobernador del Estado, Enrique Alfaro, les dio la bienvenida a las y los asistentes a Guadalajara, también resaltó el trabajo que se ha realizado desde el gobierno, de la mano de la sociedad civil, para fortalecer las estrategias y acciones en materia de movilidad urbana.
La Directora General del Imeplan, Patricia Martínez Barba, realizó un recorrido por la evolución en la planeación de la movilidad urbana sustentable, tomando como punto de partida la demanda social que, desde hace 15 años, impulsa y promueve otras formas de movilidad.
Caro Gómez señaló que una de las agendas prioritarias ha sido la de la movilidad digna, segura y sustentable, y en particular la movilidad activa. Añadió que se tiene una red de ciclovías y carriles preferenciales ciclistas tanto en la Zona Metropolitana de Guadalajara y en otras ciudades del interior del estado. La ciudad cuenta con 258 kilómetros de ciclovías segregadas, así como 116 kilómetros de carriles con prioridad ciclista; a lo largo de todas las ciclovías de la ciudad se realizan más de 42 mil viajes al día.
«Sabemos que el trabajo por contar con mejores condiciones para la movilidad activa enfrenta constantes retos, pero estamos conscientes del compromiso que esto conlleva, ya que sabemos es la ruta para tener una ciudad más humana, sustentable, equitativa e incluyente» dijo Caro Gómez.
En este encuentro participaron la Coordinación de Gestión del Territorio, el Instituto de Planeación y Gestión del Desarrollo del Área Metropolitana de Guadalajara (Imeplan), la Agencia Metropolitana de Servicios de Infraestructura para la Movilidad del AMG (AMIM), y el Sistema de Bicicletas Públicas, MiBici.
CT
Te puede interesar: Más de 70 mil usuarios de transporte público han descargado app «Mi Saldo»"
37,Mural,20/10/2022,"Ciclovía al camellón, piden vecinos de Guadalupe",trafilatura,trafilatura,462,0.7,https://www.mural.com.mx/ciclovia-al-camellon-piden-vecinos-de-guadalupe/ar2490228,,"Con pancartas con diferentes leyendas, Asociación Rescate Av. Guadalupe realizó hoy una caravana para exigir que se modifique la ciclovía. Crédito: Ángel Llamas
De manera simultánea los coches daban vueltas a la glorieta, al tiempo que otro grupo de vecinos se apostaba con un par de lonas. Crédito: Ángel Llamas
Las protestas para exigir que se modifique la Ciclovía de Avenida Guadalupe se unieron hoy al caos vial en la Avenida Ecónomos por el GDL Open AKRON."
