medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
El Occidental,03/01/2021,Tapatíos disfrutan de la Vía RecreActiva en segundo fin de semana,trafilatura,trafilatura,350,0.83,https://oem.com.mx/eloccidental/local/noticias-deporte-actividad-tapatios-disfrutan-de-la-via-recreactiva-en-segundo-fin-de-semana-13167359,,"Localdomingo, 3 de enero de 2021
Aunque muchos no cumplen del todo con las medidas sanitarias, como el uso del cubrebocas
LOCAL
Mirza Flores acusa a Morena de “grillar” y lucrar políticamente con el tema del agua
El delito por el que fue denunciado Eduardo N, es por acoso sexual
La víctima está protegida y hasta el momento se desconoce su identidad"
Lider 919,04/01/2021,"Más infraestructura y visibilidad, las razones de la baja en el número de ciclistas fallecidos en 2020",error,error,0,4.81,https://lider919.com/mas-infraestructura-y-visibilidad-las-razones-de-la-baja-en-el-numero-de-ciclistas-fallecidos-en-2020,HTTP 404,
NTRGuadalajara,04/01/2021,"Vía, con fallas en los filtros sanitarios",trafilatura,trafilatura,794,0.35,https://www.ntrguadalajara.com/post.php?id_nota=160308,,"Los filtros sanitarios de la Vía RecreActiva aún presentan fallas.
Desde su regreso, NTR dio cuenta de que los puntos de revisión eran pocos en el paseo dominical y ayer constató que la situación continúa.
Este medio pudo comprobar que en zonas con más registro de usuarios, como el Centro de Guadalajara y avenida Patria, ciudadanos se incorporaron al recorrido sin siquiera exigirles la aplicación de gel antibacterial.
Donde sí se puso más énfasis en el tema fue en las zonas de la Ex Penal de Oblatos y La Minerva, así como a las afueras de la Unidad Deportiva El Polvorín, en donde para ingresar a la Vía los usuarios pasaron por una sanitización de sus bicicletas y de las manos.
Pese a estos protocolos, ayer se contó por decenas a los paseantes que omitieron el uso del cubrebocas.
jl/I"
Quadratin,04/01/2021,Vuelve a la normalidad #MiBici,trafilatura,trafilatura,1993,0.72,https://jalisco.quadratin.com.mx/sin-categoria/vuelve-a-la-normalidad-mibici/,,"Arranca el TSJ el ciclo escolar 2026-2027 con nuevas carreras
                
                
Guadalajara, Jal. a 28 de agosto de 2026            
        
              04 de enero de 2021                  
            
 , 
             
              15:42 
            
          
            
            Monse Cuevas/Quadratín Jalisco             
          
        GUADALAJARA, Jal., 04 de enero de 2021.- Mi Bici, uno de los programas que cada vez más jóvenes y adultos utilizan, regresó a la normalidad tras varios meses de ofrecer el servicio de manera irregular.
Roberto, es usuario de Mi Bici desde octubre de 2020; su anualidad terminó, por lo que no pudo renovarla hasta este lunes, lo que le permitirá seguir siendo usuario de este programa.
“Como en octubre marqué para que me reactivaran el servicio, pero esto no fue posible porque pues, una aplicación o algo así no estaba todavía en funcionamiento, entonces pues decidí esperarme hasta que entrará el año, de esta manera ya pude agendar mi cita, que se hace por llamada, la página o internet, yo la hice por llamada y vine a renovar tanto mi membresía como mi tarjeta que ya había vencido”, explicó.
En una visita que realizamos a las oficinas de Mi Bici, ubicadas en Federalismo, a la altura de la Avenida La Paz, uno de los asesores señaló que aquellas personas interesadas en adquirir el servicio deben agendar un cita vía telefónica al 3330022424, a través del portal de internet, www.mibici.mx o en su defecto por redes sociales @mibicipublica
Mientras que Roberto, usuario de este medio de transporte, hizo un llamado a la ciudadanía a utilizar más la bicicleta y dejar a un lado el automóvil.
“La bicicleta, a parte de transportarte, te hace sentir vivo, te hace más feliz y sobre todo contamina menos”, añadió.
Julián Velázquez vuelve a los Xolos de Tijuana
              
                                  
                
                 Hasta tres horas de espera para realizar pagos de impuestos en Vallarta"
El Informador,07/01/2021,Recupera su bicicleta en seis horas gracias a las redes sociales,trafilatura,trafilatura,4252,0.24,https://www.informador.mx/jalisco/Recupera-su-bicicleta-en-seis-horas-gracias-a-las-redes-sociales-20210107-0121.html,,"Recupera su bicicleta en seis horas gracias a las redes sociales
Mariana Ponce agradeció la solidaridad que tuvieron todas aquellas personas que compartieron sus publicaciones, aunque lamenta la inseguridad que se vive en Jalisco
A las 8:00 de la maÃ±ana ocurriÃ³ el robo, y a las 14:00 horas Mariana ya tenÃa su bicicleta de vuelta. EL INFORMADOR/ARCHIVO
A las 8:00 de la maÃ±ana, Mariana Ponce notÃ³ que le habÃan robado su bicicleta y a las 14:00 horas ya la tenÃa de vuelta. Los responsables la sacaron de su vehÃculo, el cual se hallaba dentro de un garaje de la colonia Americana; rompieron el cristal trasero y se la llevaron sin mayor problema.
Al percatarse de esto, Mariana llamÃ³ al 911 para hacer su reporte a las autoridades y comenzÃ³ a compartir las imÃ¡genes de su bicicleta, valuada en unos 20 mil pesos, en todas sus redes sociales.
En la publicaciÃ³n, ella pedÃa que si alguien llegaba a ofrecÃ©rsela no la compraran y que, en caso de verla en la calle se lo hicieran saber para acudir a su bÃºsqueda; 40 minutos despuÃ©s llegÃ³ la policÃa.
A las 11:30 horas recibiÃ³ una llamada en la cual le informaban que su bicicleta era ofertada por 15 mil pesos en las inmediaciones del Mercado Libertad, tambiÃ©n conocido como San Juan de Dios, por lo que pidiÃ³ ayuda a un amigo para ir a buscarla.
Le dijeron que alguien intentarÃa hacer la compra para atrapar a los ladrones, pero desde un auto alguien gritÃ³ que la bicicleta era robada y los delincuentes huyeron. Mariana y su amigo preguntaron en la zona si alguien los habÃa visto, refiriendo que habÃan huido hacia la Central Vieja.
Un nuevo llamado a su nÃºmero, el cual habÃa anotado en la publicaciÃ³n, los alertÃ³ de que su bicicleta habÃa sido vista en la zona de 5 de Febrero y despuÃ©s en una plaza comercial de la avenida LÃ¡zaro CÃ¡rdenas y 8 de Julio, donde uno de los delincuentes habÃa intentado empeÃ±ar su bicicleta sin conseguirlo.
MÃ¡s tarde, Mariana recibiÃ³ la alerta de que su bicicleta habÃa sido abandonada âen una bodega detrÃ¡s de la Unidad Deportiva LÃ³pez Mateosâ, por lo cual se dirigieron entonces a dicha zona.
âNo tenÃamos la direcciÃ³n exacta, pero cuando Ãbamos pasando frente a una bodega, como yo traÃa el casco de la bici puesto, y yo vi que la gente que estaba en la entrada se me quedÃ³ viendo y fue tanto que sentÃ que ahÃ era. Apenas me estaba bajando de la moto y me hicieron seÃ±as que si estaba buscando una bici, yo les dije que sÃ, que me la habÃan robado por la maÃ±ana. Me pasaron a un cuartito donde tienen sus lockers y ahÃ la tenÃan, me soltÃ© a llorarâ, expresÃ³.
SegÃºn lo que le dijo el personal de la bodega, fue un taxista quien seguÃa al ciclista, quien al parecer cayÃ³ ocasionando que se ponchara y se daÃ±ara el cuadro, por lo cual los trabajadores resguardaron la bici en sus instalaciones.
Mariana lamentÃ³ la falta de seguridad en la ciudad, pues dijo, en los Ãºltimos meses los delincuentes han robado decenas de bicicletas a la comunidad, aunado al incremento de este tipo de vehÃculos por la pandemia, llegando incluso a especializarse, pues cada vez roban bicis de mayor valor, como la sustraÃda el 5 de enero de una tienda especializada ubicada en la avenida Rafael Sanzio, en Zapopan.
Sin embargo, dijo, agradeciÃ³ la solidaridad que tuvieron todas aquellas personas que compartieron sus publicaciones para dar con el paradero de la bicicleta, asÃ como a las personas que la vieron en la calle, siguieron su rumbo y se mantuvieron en contacto con ella, pues dijo, esto fue esto lo que la ayudÃ³ a recuperarla.
âYo tengo un evento para finales de febrero para el cual he estado entrenando mucho y solo pensÃ© en lo mucho que he entrenado y que eso se iba a ir a la basura. Mis amigos se empezaron a organizar para una bici y eso tambiÃ©n se me hizo muy bonito. A mi me gustarÃa que esta experiencia ayude a que las personas seamos mÃ¡s empÃ¡ticas y ayudemos cuando ocurra este tipo de situaciones. A veces es tan fÃ¡cil como compartir una publicaciÃ³n, quizÃ¡ ellos no estÃ©n en el cÃrculo ciclista, pero quizÃ¡ alguno de sus amigos sÃâ, finalizÃ³ Mariana.
JM
Lee TambiÃ©n
Recibe las Ãºltimas noticias en tu e-mail
Todo lo que necesitas saber para comenzar tu dÃa
Registrarse implica aceptar los TÃ©rminos y Condiciones"
Mural,08/01/2021,"Avanza la ciclovía de Federalismo, pero a paso lento",trafilatura,trafilatura,503,0.84,https://www.mural.com.mx/avanza-la-ciclovia-de-federalismo-pero-a-paso-lento/ar2101904,,"Avanza la ciclovía de Federalismo, pero a paso lento
Julio Cárdenas
Guadalajara, México (08 enero 2021) .-05:00 hrs
El avance global de la obra, de acuerdo con información de la SIOP, es del 73 por ciento. Crédito: Ángel Llamas
Los frentes de la obra debían terminarse a finales de noviembre. Crédito: Ángel Llamas
Afuera del Panteón de Mezquitán aún se ven desperfectos. Crédito: Ángel Llamas
Fuera del tiempo establecido avanza la construcción de la ciclovía de la Avenida Federalismo, en Guadalajara."
Trafico ZMG,08/01/2021,Usuarios de MiBici pagarán más por el servicio,trafilatura,trafilatura,2398,1.06,https://traficozmg.com/2021/01/usuarios-de-mibici-pagaran-mas-por-el-servicio/,,"Usuarios de “MiBici” pagarán más por el servicio
Usuarios del Sistema de Bicicleta Pública “MiBici” pagarán más impuestos por el servicio de movilidad. De acuerdo al Ejercicio Fiscal 2021, la suscripción anual tendrá un costo de 428 pesos (12 pesos más que el año anterior) y como novedad se canceló el acceso a dos bicicletas.
Respecto a las acciones temporales, un día de uso de la bicicleta tendrá un costo de 94 pesos, tres días 188 pesos y siete días 329.
Como parte de los cargos adicionales, el segundo periodo de tiempo de por lo menos 30 minutos, tendrá un costo de 25 pesos, a partir del tercer período de tiempo por cada 30 minutos subsecuentes costará 35 pesos y la reposición, en caso de pérdida o extravío de tarjeta, tendrá un valor de 20 pesos.
Se contempla que en caso de utilizar el servicio por más de ocho horas, el cargo por uso continuo será el costo de la suscripción más el tiempo transcurrido a partir del segundo periodo.
Para las personas interesadas en iniciar el trámite de la suscripción anual, esta se pagará con tarjeta de crédito o débito bancaria y se requiere la firma de un pagaré por cada suscriptor, en favor de la Secretaría de Hacienda Pública (SHP) por la cantidad de cinco mil pesos, lo anterior como garantía por los posibles daños que pueda sufrir la bicicleta.
Para las suscripciones temporales se solicitará en garantía un depósito por bicicleta por la cantidad de tres mil 500 pesos, el cual se realizará mediante la retención del monto a una tarjeta de crédito bancaria.
Las garantías de referencia serán efectivas en caso de que las bicicletas presente algún daño, mismo que será cuantificado por la SHP.
En esta ocasión se exentará del cobro de la suscripción anual de «MiBici» a la población inscrita en los programas de atención prioritaria de la Secretaría de Desarrollo Social y/ó a la Agencia Metropolitana de Servicios de Infraestructura para la Movilidad de la Zona Metropolitana de Guadalajara (ZMG).
En caso de ser estudiantes mayores de 16 años de edad y con credencial de estudiante vigente de Educación Media Superior en adelante, podrán obtener un descuento del 50 por ciento en la suscripción anual.
En 2020 el servicio por año costaba 416 pesos, la suscripción por siete días 319, por tres días 183 y por un día, 91 pesos.
Isela Ibarra
Te puede interesar: Detienen a sujeto por alterar la escena del homicidio de Aristóteles Sandoval"
Canal 44,09/01/2021,Usuarios de ciclovía de la avenida Washington aprueban obra pero denuncian la creciente delincuencia,error,error,0,20.0,https://www.youtube.com/watch?v=Zvz04JUXfZc,,
El Occidental,10/01/2021,Chicos y grandes disfrutan de la Vía RecreActiva,trafilatura,trafilatura,382,0.61,https://oem.com.mx/eloccidental/local/noticias-guadalajara-pandemia-prevencion-chicos-y-grandes-disfrutan-de-la-via-recreactiva-15878462,,"Localdomingo, 10 de enero de 2021
Cientos de personas en bicicleta, patines o patinetas se apropiaron de las avenidas este domingo a respirar aire fresco
LOCAL
Mirza Flores acusa a Morena de “grillar” y lucrar políticamente con el tema del agua
El delito por el que fue denunciado Eduardo N, es por acoso sexual
La víctima está protegida y hasta el momento se desconoce su identidad"
Milenio,10/01/2021,Vía Recreactiva de Guadalajara con pocos filtros sanitarios pese a gran afluencia,trafilatura,trafilatura,1577,0.35,https://www.milenio.com/politica/comunidad/guadalajara-pocos-filtros-para-mucha-afluencia-en-la-via-recreactiva,,"Pese al notable incremento en la afluencia de usuarios en la vía reacreactiva de Guadalajara, el ayuntamiento municipal ha restado importancia a intensificar los filtros y medidas sanitarias durante el recorrido del primer cuadrante de la ciudad.
De acuerdo a guías del Comude, desde el Mercado San Juan de Dios hasta La Minerva, únicamente existen 2 carpas donde se mide la temperatura y se regala gel anti bacterial: el primero sobre Calzada Federalismo y Juárez y el siguiente al cruce de Francisco Javier Gamboa y Vallarta.
Alfonso Sandoval, quien acudió en bicicleta y acompañado por su hijo, apuntó no haber visto filtros sanitarios a lo largo de la principal arteria.
“No pues si debería haber más filtros, un poquito de más filtros o mínimo estar regalando gel antibacterial. Nosotros hemos venido desde aquí [Federalismo y Juárez] hasta San Juan de Dios y no vimos ningún filtro”, dijo Alfonso Sandoval, usuario de la Vía Recreactiva. 
Otra patinadora opinó en ese mismo sentido:
“Yo observo que si son muy pocos los filtros sanitarios que hay, yo vengo de la Minerva hacia San Juan de Dios y apenas es el primer filtro que me toca -¿Qué te parece esto ante la gran afluencia de personas?- Se me hace que si son demasiadas personas y corremos un riesgo y pues si debería haber más filtros”, comentó Angélica Sánchez.
No obstante, hubo usuarios que desafiaron las reglas pues mientras el equipo de Milenio Jalisco recababa información, avistó a numerosos grupos de adolescentes quienes evadían los filtros sanitarios por las banquetas y tampoco portaban cubrebocas.
JMH"
