medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
Canal 44,12/01/2021,Ciclistas en Guadalajara consideran la falta de sensibilidad de automovilistas una causa de peligro,error,error,0,16.61,https://www.youtube.com/watch?v=9sb98s0N__g,,
Canal 44,13/01/2021,"Realizan obras de ciclopista, ciclistas señalan falta de señalización y socialización",error,error,0,17.73,https://www.youtube.com/watch?v=IuIp2XY6P_8,,
NTRGuadalajara,13/01/2021,MiBici extiende su horario de operación,trafilatura,trafilatura,1325,0.38,https://www.ntrguadalajara.com/post.php?id_nota=160793,,"La Agencia Metropolitana de Infraestructura para la Movilidad (AMIM) informó ayer que a partir de este mes el horario de operación de MiBici se extendió de las 5 a las 00:59 horas. Antes era de 6 a las 0 horas.
“Se agregan dos horas para beneficio de aquellos usuarios que requieren moverse desde temprano y los que regresan a sus domicilios después de la medianoche”, detalló la agencia en un comunicado.
Aunado a la ampliación del servicio, los costos para 2021 incrementaron. La suscripción anual ahora es de 428 pesos –en 2020 era de 416–, mientras que las suscripciones temporales de un día, tres días y siete días serán de 94, 188 y 329 pesos, respectivamente. El año pasado eran de 91, 183 y 319 pesos.
La agencia también informó que el costo por tiempo adicional de 30:01 a 60 minutos ahora es de 25 pesos, mientras que de 60:01 minutos en adelante se cobrarán 35 pesos por cada 30 minutos.
La AMIM añadió que esta semana se cumplen 15 millones de viajes en MiBici tras seis años de operación. Actualmente, el programa cuenta con 93 mil 800 usuarios.
“La operación del programa durante la pandemia no se detuvo y se convirtió en una alternativa de movilidad sustentable y segura para los usuarios, ya que durante 2020 se realizaron 2 millones 867 mil 901 viajes y hubo 4 mil 322registros”, abundó la dependencia.
jl/I"
Milenio,14/01/2021,Ciclistas piden mantenimiento de Ciclovía de Dr. Pérez Arce,trafilatura,trafilatura,1166,0.31,https://www.milenio.com/politica/comunidad/jalisco-ciclistas-piden-mantenimiento-ciclovia-dr-perez-arce,,"Guadalajara / 
					
					
				
					
La falta de mantenimiento es evidente en la ciclovía ubicada sobre la calle de Doctor Pérez Arce, el deterioro en esta infraestructura genera complicaciones en los traslados de los usuarios, lo cual inclusive podría generar alguna caída o accidente mayor.
El balizamiento ya es inexistente, algunos bolardos se encuentran en mal estado y hay bastante grava suelta, esto complica el manejo según refieren ciclistas que frecuentemente circulan por este punto.
""El mantenimiento es muy escaso, tiene concreto suelto y tierra y grava que no han hecho ni se le ha dado mantenimiento, tampoco la limpieza, los vehículos que se estacionan en la vía"", dijo el ciclista Salvador Jiménez
La ciclovía ubicada sobre esta vialidad de Doctor Pérez Arce, cuenta con 3.2 kilómetros sin embargo a la altura del mercado del mar está infraestructura desapareció, ya que los aparta lugares que operan en la zona priorizan el estacionamiento de vehículos.
""A cada rato se resbala uno por tanto terregal que hay, la basura, hay clavos, tachuelas o tornillos tiene uno que salirse para la parte de acá del automóvil, claro que sí"", dijo Ramiro Gil.
MC"
Notisistema,15/01/2021,Más obras en ciclovía de Ávila Camacho pone en riesgo a ciclistas,playwright,playwright,252,5.72,https://www.notisistema.com/noticias/mas-obras-en-ciclovia-de-avila-camacho-pone-en-riesgo-a-ciclistas/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Notisistema,22/01/2021,Afecta pandemia viajes a través de MiBici,playwright,playwright,252,5.46,https://www.notisistema.com/noticias/afecta-pandemia-viajes-a-traves-de-mibici/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Mural,23/01/2021,Circulaba con 'Su Bici',trafilatura,trafilatura,370,0.77,https://www.mural.com.mx/circulaba-con-su-bici/ar2111285?v=5,,"El hombre circulaba por la Avenida 16 de septiembre con esta bicicleta. Crédito: Cortesía
Óscar Rafael, de 29 años, fue detenido y enviado ante un Ministerio Público. Crédito: ROSTRO CUBRIERTO POR LA AUTORIDAD
Por circular en una bicicleta del programa ""MiBici"" que había sido robada desde hace 14 días, un hombre fue detenido en la Colonia Mexicaltzingo de Guadalajara."
UDGTV,27/01/2021,Próxima semana arranca instalación de ciclovía de 6.4 kilómetros en calle Gigantes,playwright,playwright,113,6.35,https://udgtv.com/noticias/proxima-semana-arranca-instalacion-ciclovia-6-4-kilometros-calle-gigantes/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
Milenio,28/01/2021,Ciclovía de 8 de Julio divide opiniones entre ciudadanía,trafilatura,trafilatura,1463,0.37,https://www.milenio.com/politica/comunidad/jalisco-ciclovia-8-julio-divide-opiniones-ciudadania,,"Guadalajara / 
					
					
				
					
La ampliación de la ciclovía en la avenida 8 de Julio provoca opiniones divididas entre los ciudadanos. Por un lado están los ciclistas, que aplauden la medida y aseguran sentirse más seguros al pedalear por esta importante arteria de la Zona Metropolitana de Guadalajara.
“Está bien que lo hayan hecho, nos hace falta hacer deporte y esta es una opción más. Ya era hora que se pensara en todos, no solo en los vehículos, también en nosotros, y sigue siendo una buena opción para todos”, comentó un ciclista.
Por su parte, los automovilistas alegan que pocos ciclistas utilizan la ciclovía, y que solo reduce carriles de circulación, provocando congestionamiento vial.
“Si ven pasan muy pocos ciclistas, tanto de aquí como de aquel lado quitaron un carril y es un problema en la hora pico y se ha complicado”, señaló un taxista.
Algunos conductores levantaron la voz pidiendo que la ciclovía se construya por calles aledañas para disminuir la afectación. Los peatones aprueban la ciclovía, reconocen que es importante incentivar la movilidad no motorizada en la ciudad, si esto ayuda a disminuir la contaminación en la urbe.
“Está bien, es para cuidar a los ciclistas ya que les ayuda mucho y está bien que lo hayan puesto. Las quejas en la reducción de carriles les afecta a los automovilistas pero igual es un beneficio, sobre todo para los ciclistas, más que nada, les sirve de mucho porque los cuida”, opinó un peatón.
MC"
Notisistema,28/01/2021,Piden a autoridades poner orden en las ciclovías de las calles 32 y 34,playwright,playwright,252,5.81,https://www.notisistema.com/noticias/piden-a-autoridades-poner-orden-en-las-ciclovias-de-las-calles-32-y-34/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Notisistema,28/01/2021,Surgen inconformidades entre vecinos de calle Gigantes por ciclovía,playwright,playwright,252,5.38,https://www.notisistema.com/noticias/1222126-2/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Lider 919,29/01/2021,Continúan trabajos en la ciclovía de Avenida Guadalupe,error,error,0,4.61,https://lider919.com/continuan-trabajos-en-la-ciclovia-de-avenida-guadalupe,HTTP 404,
Notisistema,29/01/2021,Cambios de anchura en la calle Gigantes complican instalación de ciclovía,playwright,playwright,252,5.75,https://www.notisistema.com/noticias/cambios-de-anchura-de-gigantes-complicacion-para-instalar-ciclovia-en-gigantes/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Notisistema,29/01/2021,"No se afectarán carriles de estacionamiento con ciclovía en Gigantes, advierten autoridades",playwright,playwright,252,5.26,https://www.notisistema.com/noticias/no-se-afectaran-carriles-de-estacionamiento-con-ciclovia-en-gigantes-advierten-autoridades/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Notisistema,29/01/2021,Vecinos aseguran que circulan más ciclistas por Javier Mina que por Gigantes,playwright,playwright,252,5.32,https://www.notisistema.com/noticias/vecinos-aseguran-que-circulan-mas-ciclistas-por-javier-mina-que-por-gigantes/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
UDGTV,29/01/2021,Realizan obras complementarias en ciclovía de Av. Guadalupe en Zapopan,playwright,playwright,113,5.08,https://udgtv.com/noticias/realizan-obras-complementarias-ciclovia-av-guadalupe-zapopan/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
Cronica Jalisco,31/01/2021,Comenzó la segunda etapa de obras en los 4.2 kilómetros de la ciclovía de la avenida Guadalupe,error,error,0,140.44,chrome-error://chromewebdata/,"ConnectTimeout: HTTPSConnectionPool(host='www.cronicajalisco.com', port=443): Max retries exceeded with url: /notas-comenzo_la_segunda_etapa_de_obras_en_los_42_kilometros_de_la_ciclovia_de_la_avenida_guadalupe-106273-2021 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f06bf409590>, 'Connection to www.cronicajalisco.com timed out. (connect timeout=5)'))",
El Occidental,02/02/2021,Este mes concluye ciclovía de Federalismo,trafilatura,trafilatura,351,0.65,https://oem.com.mx/eloccidental/local/noticias-obras-este-mes-concluye-ciclovia-de-federalismo-13164334,,"Localmartes, 2 de febrero de 2021
Para esos trabajo estiman una inversión de 8.4 millones de pesos de recursos municipales
LOCAL
Mirza Flores acusa a Morena de “grillar” y lucrar políticamente con el tema del agua
El delito por el que fue denunciado Eduardo N, es por acoso sexual
La víctima está protegida y hasta el momento se desconoce su identidad"
Mural,02/02/2021,Ubican las zonas de riesgo para ciclistas,trafilatura,trafilatura,484,0.93,https://www.mural.com.mx/ubican-las-zonas-de-riesgo-para-ciclistas/ar2117677?v=4,,"Ubican las zonas de riesgo para ciclistas
Noé Magallón
Guadalajara, México (03 febrero 2021) .-05:00 hrs
Policías de Guadalajara incrementaron la vigilancia en zonas como Pueblo Quieto (foto). Crédito: Archivo
Las autoridades han identificado los puntos donde los ciclistas han sido víctimas de asaltantes. Crédito: Especial
Para reducir el robo a ciclistas, la Policía de Guadalajara ha enfocado la vigilancia en los puntos que víctimas y colectivos han identificado como peligrosos."
Notisistema,02/02/2021,Por fin aparecen mantas de información sobre la ciclovía de Gigantes,playwright,playwright,252,5.87,https://www.notisistema.com/noticias/por-fin-aparecen-mantas-de-informacion-sobre-la-ciclovia-de-gigantes/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Notisistema,02/02/2021,Piden consulta pública sobre ciclovía en la calle Gigantes,playwright,playwright,252,5.9,https://www.notisistema.com/noticias/piden-consulta-publica-sobre-ciclovia-en-la-calle-gigantes/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Trafico ZMG,03/02/2021,Segregarán carril de Hidalgo para ciclistas y transporte público ,trafilatura,trafilatura,1026,0.96,https://traficozmg.com/2021/02/segregaran-carril-de-hidalgo-para-ciclistas-y-transporte-publico/,,"Segregarán carril de Hidalgo para ciclistas y transporte público
Un carril de la avenida Hidalgo será exclusivo para transporte público y ciclistas, así lo anunció la titular de Movilidad Guadalajara, Tania Libertad Zavala.
La funcionaria detalló que el ayuntamiento tapatío ya realizó el balizamiento de la zona, pues ya se pueden observar las líneas continuas y las señaléticas de bicicletas y “Solo Bus”, sin embargo, también se confinará el carril.
Adelantó que para evitar lo que pasó con la ciclovía de avenida México, en la que fueron dañados todos los bolardos y elementos divisorios por vehículos, buscarán que sean de algún material más resistente.
Además reconoció que la compra de esos y otros bolardos para sustituir los dañados de avenida México aún están pendientes por cuestiones de presupuesto, sin embargo, confía en que este año ese tema quede finiquitado.
Se espera que la obra se comience a socializar en los próximos meses, entre automovilistas, operadores de transporte público, ciclistas y peatones.
GM"
Cronica Jalisco,04/02/2021,Grupos ciclistas avalan la nueva ciclovía en la calle Gigantes,error,error,0,141.38,chrome-error://chromewebdata/,"ConnectTimeout: HTTPSConnectionPool(host='www.cronicajalisco.com', port=443): Max retries exceeded with url: /notas-grupos_ciclistas_avalan_la_nueva_ciclovia_en_la_calle_gigantes-106374-2021 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f06be0a6ad0>, 'Connection to www.cronicajalisco.com timed out. (connect timeout=5)'))",
Notisistema,04/02/2021,Piden ciclistas aprovechar intervención en carretera a Chapala para construir una cicloví,playwright,playwright,252,5.97,https://www.notisistema.com/noticias/piden-ciclistas-aprovechar-intervencion-en-carretera-a-chapala-para-construir-una-ciclovia/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Notisistema,04/02/2021,Empieza a tomar forma la ciclovía de la calle Gigantes,playwright,playwright,252,5.83,https://www.notisistema.com/noticias/empieza-a-tomar-forma-la-ciclovia-de-la-calle-gigantes/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Notisistema,04/02/2021,Voces a favor de crear un carril exclusivo en Hidalgo para bicis y trolebuses,playwright,playwright,252,5.88,https://www.notisistema.com/noticias/voces-a-favor-de-crear-un-carril-exclusivo-en-hidalgo-para-bicis-y-trolebuses/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
